Machine ID,Availability,Performance,Quality,OEE,Availability Loss,Performance Loss,Quality Loss,Dominant Loss,Description,Typical Downtime
CNC_Milling_15,56.88,98.43,96.86,54.22,43.12,1.57,3.14,Availability,Mechanical Breakdown,30-240
Assembly_Line_4,60.42,97.03,99.05,58.07,39.58,2.97,0.95,Availability,Mechanical Breakdown,30-240
Press_Line_14,65.0,92.42,98.88,59.4,35.0,7.58,1.12,Availability,Mechanical Breakdown,30-240
CNC_Milling_6,59.17,97.02,99.39,57.06,40.83,2.98,0.61,Availability,Mechanical Breakdown,30-240
Press_Line_14,64.79,98.97,98.25,63.0,35.21,1.03,1.75,Availability,Mechanical Breakdown,30-240
Assembly_Line_12,62.5,99.23,98.25,60.94,37.5,0.77,1.75,Availability,Mechanical Breakdown,30-240
Assembly_Line_1,61.25,94.9,99.44,57.8,38.75,5.1,0.56,Availability,Mechanical Breakdown,30-240
CNC_Milling_10,60.42,92.48,97.32,54.37,39.58,7.52,2.68,Availability,Mechanical Breakdown,30-240
Press_Line_6,64.38,94.53,99.13,60.33,35.62,5.47,0.87,Availability,Mechanical Breakdown,30-240
Assembly_Line_9,62.71,96.45,97.91,59.22,37.29,3.55,2.09,Availability,Mechanical Breakdown,30-240
CNC_Milling_16,61.46,94.13,97.44,56.37,38.54,5.87,2.56,Availability,Mechanical Breakdown,30-240
Assembly_Line_12,65.42,93.98,98.24,60.4,34.58,6.02,1.76,Availability,Mechanical Breakdown,30-240
Press_Line_18,65.42,98.33,98.8,63.55,34.58,1.67,1.2,Availability,Mechanical Breakdown,30-240
CNC_Milling_14,60.42,97.44,98.59,58.04,39.58,2.56,1.41,Availability,Mechanical Breakdown,30-240
CNC_Milling_4,64.17,92.85,99.45,59.25,35.83,7.15,0.55,Availability,Mechanical Breakdown,30-240
Assembly_Line_20,66.04,94.27,97.21,60.52,33.96,5.73,2.79,Availability,Mechanical Breakdown,30-240
Assembly_Line_13,66.67,93.93,97.79,61.24,33.33,6.07,2.21,Availability,Mechanical Breakdown,30-240
Assembly_Line_19,67.71,91.77,97.0,60.27,32.29,8.23,3.0,Availability,Mechanical Breakdown,30-240
Press_Line_20,71.04,93.26,98.43,65.21,28.96,6.74,1.57,Availability,Mechanical Breakdown,30-240
Assembly_Line_12,67.5,93.89,98.29,62.29,32.5,6.11,1.71,Availability,Mechanical Breakdown,30-240
Assembly_Line_11,66.04,98.22,99.55,64.58,33.96,1.78,0.45,Availability,Mechanical Breakdown,30-240
Assembly_Line_12,68.12,93.03,98.72,62.56,31.88,6.97,1.28,Availability,Mechanical Breakdown,30-240
CNC_Milling_20,64.38,98.48,99.41,63.02,35.62,1.52,0.59,Availability,Mechanical Breakdown,30-240
CNC_Milling_17,65.21,93.36,97.39,59.29,34.79,6.64,2.61,Availability,Mechanical Breakdown,30-240
Assembly_Line_7,70.62,94.03,96.86,64.32,29.38,5.97,3.14,Availability,Mechanical Breakdown,30-240
CNC_Milling_7,67.29,98.85,98.06,65.23,32.71,1.15,1.94,Availability,Mechanical Breakdown,30-240
CNC_Milling_12,65.62,98.61,100.0,64.71,34.38,1.39,0.0,Availability,Mechanical Breakdown,30-240
Assembly_Line_16,71.04,93.26,99.53,65.94,28.96,6.74,0.47,Availability,Mechanical Breakdown,30-240
CNC_Milling_12,69.17,94.12,97.62,63.55,30.83,5.88,2.38,Availability,Mechanical Breakdown,30-240
CNC_Milling_5,68.96,95.71,96.88,63.94,31.04,4.29,3.12,Availability,Mechanical Breakdown,30-240
Assembly_Line_18,71.25,96.7,98.58,67.92,28.75,3.3,1.42,Availability,Mechanical Breakdown,30-240
Assembly_Line_12,73.12,98.89,97.38,70.42,26.88,1.11,2.62,Availability,Mechanical Breakdown,30-240
CNC_Milling_18,71.88,91.81,99.43,65.61,28.12,8.19,0.57,Availability,Mechanical Breakdown,30-240
Press_Line_9,74.58,98.7,99.34,73.12,25.42,1.3,0.66,Availability,Mechanical Breakdown,30-240
CNC_Milling_7,72.29,98.72,99.55,71.04,27.71,1.28,0.45,Availability,Mechanical Breakdown,30-240
Assembly_Line_17,74.38,97.92,99.26,72.29,25.62,2.08,0.74,Availability,Mechanical Breakdown,30-240
CNC_Milling_13,73.12,98.84,99.49,71.91,26.88,1.16,0.51,Availability,Mechanical Breakdown,30-240
Press_Line_3,78.96,92.84,97.48,71.46,21.04,7.16,2.52,Availability,Mechanical Breakdown,30-240
CNC_Milling_17,73.12,97.4,98.32,70.03,26.88,2.6,1.68,Availability,Mechanical Breakdown,30-240
Assembly_Line_5,77.29,94.59,99.29,72.59,22.71,5.41,0.71,Availability,Mechanical Breakdown,30-240
Press_Line_13,80.42,91.84,98.29,72.59,19.58,8.16,1.71,Availability,Mechanical Breakdown,30-240
Assembly_Line_13,77.92,92.1,97.68,70.1,22.08,7.9,2.32,Availability,Mechanical Breakdown,30-240
Press_Line_15,77.5,97.55,97.92,74.02,22.5,2.45,2.08,Availability,Mechanical Breakdown,30-240
Press_Line_9,80.21,91.78,98.34,72.39,19.79,8.22,1.66,Availability,Mechanical Breakdown,30-240
Assembly_Line_18,76.46,98.62,98.71,74.42,23.54,1.38,1.29,Availability,Mechanical Breakdown,30-240
Press_Line_17,79.17,98.67,99.71,77.89,20.83,1.33,0.29,Availability,Mechanical Breakdown,30-240
Assembly_Line_7,81.04,91.9,99.3,73.96,18.96,8.1,0.7,Availability,Material / Operator Shortage,Variable
Press_Line_13,81.25,97.63,99.2,78.7,18.75,2.37,0.8,Availability,Electrical / Control Fault,10-90
Press_Line_9,81.25,94.8,99.05,76.29,18.75,5.2,0.95,Availability,Electrical / Control Fault,10-90
CNC_Milling_13,78.75,92.71,99.49,72.64,21.25,7.29,0.51,Availability,Mechanical Breakdown,30-240
CNC_Milling_16,78.75,94.18,99.5,73.8,21.25,5.82,0.5,Availability,Mechanical Breakdown,30-240
Press_Line_11,82.08,97.93,97.74,78.57,17.92,2.07,2.26,Availability,Electrical / Control Fault,10-90
Assembly_Line_9,79.79,97.23,99.18,76.95,20.21,2.77,0.82,Availability,Mechanical Breakdown,30-240
Press_Line_20,83.54,95.26,98.69,78.54,16.46,4.74,1.31,Availability,Electrical / Control Fault,10-90
CNC_Milling_10,80.0,93.28,98.49,73.5,20.0,6.72,1.51,Availability,Mechanical Breakdown,30-240
CNC_Milling_18,78.96,98.38,98.06,76.17,21.04,1.62,1.94,Availability,Material / Operator Shortage,Variable
Assembly_Line_6,81.67,97.99,99.31,79.48,18.33,2.01,0.69,Availability,Electrical / Control Fault,10-90
Press_Line_7,81.88,98.97,98.25,79.62,18.12,1.03,1.75,Availability,Electrical / Control Fault,10-90
Press_Line_9,82.92,98.19,99.4,80.92,17.08,1.81,0.6,Availability,Electrical / Control Fault,10-90
Press_Line_9,83.96,94.65,99.39,78.97,16.04,5.35,0.61,Availability,Material / Operator Shortage,Variable
Assembly_Line_15,82.5,93.66,99.18,76.63,17.5,6.34,0.82,Availability,Material / Operator Shortage,Variable
Assembly_Line_3,83.33,96.29,97.28,78.05,16.67,3.71,2.72,Availability,Electrical / Control Fault,10-90
Press_Line_7,83.54,94.28,98.56,77.63,16.46,5.72,1.44,Availability,Mechanical Breakdown,30-240
Press_Line_10,86.25,92.22,99.74,79.33,13.75,7.78,0.26,Availability,Electrical / Control Fault,10-90
CNC_Milling_3,82.29,94.28,97.76,75.85,17.71,5.72,2.24,Availability,Material / Operator Shortage,Variable
Press_Line_19,83.12,97.26,98.3,79.48,16.88,2.74,1.7,Availability,Electrical / Control Fault,10-90
Press_Line_20,98.33,62.29,98.64,60.42,1.67,37.71,1.36,Performance,Reduced Speed Loss,Variable
Assembly_Line_9,82.08,98.76,99.61,80.75,17.92,1.24,0.39,Availability,Electrical / Control Fault,10-90
CNC_Milling_9,81.25,97.97,96.98,77.2,18.75,2.03,3.02,Availability,Electrical / Control Fault,10-90
Press_Line_14,96.67,63.54,99.27,60.98,3.33,36.46,0.73,Performance,Reduced Speed Loss,Variable
CNC_Milling_20,82.71,91.98,99.51,75.7,17.29,8.02,0.49,Availability,Mechanical Breakdown,30-240
Assembly_Line_4,85.0,92.62,98.23,77.33,15.0,7.38,1.77,Availability,Electrical / Control Fault,10-90
Press_Line_3,85.42,96.11,99.44,81.63,14.58,3.89,0.56,Availability,Electrical / Control Fault,10-90
Press_Line_15,85.83,92.36,99.01,78.49,14.17,7.64,0.99,Availability,Electrical / Control Fault,10-90
Assembly_Line_15,84.38,93.08,99.19,77.9,15.62,6.92,0.81,Availability,Electrical / Control Fault,10-90
CNC_Milling_17,82.5,95.5,98.48,77.59,17.5,4.5,1.52,Availability,Electrical / Control Fault,10-90
CNC_Milling_9,82.71,96.24,97.49,77.6,17.29,3.76,2.51,Availability,Mechanical Breakdown,30-240
CNC_Milling_5,83.33,93.56,97.35,75.9,16.67,6.44,2.65,Availability,Mechanical Breakdown,30-240
Assembly_Line_9,84.38,96.08,97.27,78.85,15.62,3.92,2.73,Availability,Mechanical Breakdown,30-240
Assembly_Line_16,85.21,92.42,98.81,77.81,14.79,7.58,1.19,Availability,Electrical / Control Fault,10-90
CNC_Milling_5,83.54,92.83,97.34,75.49,16.46,7.17,2.66,Availability,Electrical / Control Fault,10-90
Assembly_Line_12,86.25,92.32,98.64,78.54,13.75,7.68,1.36,Availability,Material / Operator Shortage,Variable
Press_Line_3,95.83,68.77,97.54,64.29,4.17,31.23,2.46,Performance,Reduced Speed Loss,Variable
CNC_Milling_10,84.17,92.67,99.04,77.25,15.83,7.33,0.96,Availability,Electrical / Control Fault,10-90
Press_Line_4,99.79,59.85,98.1,58.59,0.21,40.15,1.9,Performance,Reduced Speed Loss,Variable
Assembly_Line_11,84.58,97.92,98.95,81.95,15.42,2.08,1.05,Availability,Electrical / Control Fault,10-90
Press_Line_20,87.92,93.84,98.99,81.67,12.08,6.16,1.01,Availability,Changeover / Setup Delay,10-60
Assembly_Line_11,95.83,60.43,98.5,57.05,4.17,39.57,1.5,Performance,Reduced Speed Loss,Variable
Press_Line_1,96.46,63.68,98.72,60.64,3.54,36.32,1.28,Performance,Reduced Speed Loss,Variable
CNC_Milling_16,84.17,96.05,99.08,80.1,15.83,3.95,0.92,Availability,Material / Operator Shortage,Variable
CNC_Milling_2,83.75,97.1,98.58,80.17,16.25,2.9,1.42,Availability,Electrical / Control Fault,10-90
Press_Line_8,98.75,66.28,97.7,63.95,1.25,33.72,2.3,Performance,Reduced Speed Loss,Variable
Press_Line_15,85.83,97.86,97.81,82.16,14.17,2.14,2.19,Availability,Mechanical Breakdown,30-240
Assembly_Line_18,84.79,97.36,99.21,81.9,15.21,2.64,0.79,Availability,Mechanical Breakdown,30-240
Press_Line_6,86.67,94.64,99.35,81.49,13.33,5.36,0.65,Availability,Electrical / Control Fault,10-90
CNC_Milling_9,84.38,95.76,97.03,78.4,15.62,4.24,2.97,Availability,Electrical / Control Fault,10-90
CNC_Milling_20,85.0,93.45,99.53,79.06,15.0,6.55,0.47,Availability,Electrical / Control Fault,10-90
CNC_Milling_1,83.96,98.06,98.08,80.75,16.04,1.94,1.92,Availability,Electrical / Control Fault,10-90
Press_Line_1,97.08,64.08,99.58,61.95,2.92,35.92,0.42,Performance,Reduced Speed Loss,Variable
CNC_Milling_10,85.62,93.28,97.65,78.0,14.38,6.72,2.35,Availability,Material / Operator Shortage,Variable
CNC_Milling_16,85.0,95.54,99.54,80.84,15.0,4.46,0.46,Availability,Electrical / Control Fault,10-90
Assembly_Line_18,86.46,93.22,98.39,79.3,13.54,6.78,1.61,Availability,Electrical / Control Fault,10-90
Press_Line_19,86.04,98.76,98.06,83.32,13.96,1.24,1.94,Availability,Mechanical Breakdown,30-240
CNC_Milling_4,85.42,97.88,97.64,81.63,14.58,2.12,2.36,Availability,Electrical / Control Fault,10-90
Press_Line_10,88.54,95.06,99.75,83.96,11.46,4.94,0.25,Availability,Electrical / Control Fault,10-90
Assembly_Line_12,87.5,93.79,99.67,81.79,12.5,6.21,0.33,Availability,Electrical / Control Fault,10-90
Press_Line_18,87.5,95.95,97.23,81.63,12.5,4.05,2.77,Availability,Mechanical Breakdown,30-240
Assembly_Line_10,87.08,95.74,98.62,82.22,12.92,4.26,1.38,Availability,Mechanical Breakdown,30-240
Press_Line_10,90.0,92.12,99.49,82.48,10.0,7.88,0.51,Mixed Loss - Availability (10.00%) + Performance (7.88%),Mechanical Breakdown,30-240
Press_Line_19,87.92,95.09,97.04,81.13,12.08,4.91,2.96,Availability,Electrical / Control Fault,10-90
Press_Line_15,87.71,95.77,99.38,83.48,12.29,4.23,0.62,Availability,Electrical / Control Fault,10-90
Press_Line_20,88.75,96.48,99.51,85.21,11.25,3.52,0.49,Availability,Material / Operator Shortage,Variable
Press_Line_5,87.5,96.44,98.73,83.31,12.5,3.56,1.27,Availability,Electrical / Control Fault,10-90
Press_Line_8,87.92,99.09,98.77,86.05,12.08,0.91,1.23,Availability,Electrical / Control Fault,10-90
Press_Line_8,97.08,74.71,98.82,71.67,2.92,25.29,1.18,Performance,Reduced Speed Loss,Variable
CNC_Milling_16,86.25,97.17,97.79,81.95,13.75,2.83,2.21,Availability,Mechanical Breakdown,30-240
Assembly_Line_1,97.08,60.2,99.45,58.13,2.92,39.8,0.55,Performance,Reduced Speed Loss,Variable
Assembly_Line_8,87.92,95.58,99.0,83.19,12.08,4.42,1.0,Availability,Changeover / Setup Delay,10-60
Press_Line_19,97.29,66.42,99.57,64.35,2.71,33.58,0.43,Performance,Reduced Speed Loss,Variable
Press_Line_16,87.71,98.53,99.12,85.65,12.29,1.47,0.88,Availability,Electrical / Control Fault,10-90
Assembly_Line_2,87.5,99.63,98.54,85.91,12.5,0.37,1.46,Availability,Changeover / Setup Delay,10-60
Assembly_Line_12,96.46,70.19,98.8,66.9,3.54,29.81,1.2,Performance,Reduced Speed Loss,Variable
Press_Line_12,89.17,95.33,97.65,83.0,10.83,4.67,2.35,Availability,Changeover / Setup Delay,10-60
Press_Line_20,89.58,96.28,99.76,86.04,10.42,3.72,0.24,Availability,Electrical / Control Fault,10-90
CNC_Milling_3,88.33,91.77,98.71,80.02,11.67,8.23,1.29,Mixed Loss - Availability (11.67%) + Performance (8.23%),Changeover / Setup Delay,10-60
Press_Line_20,90.62,94.71,97.57,83.75,9.38,5.29,2.43,Mixed Loss - Availability (9.38%) + Performance (5.29%),Changeover / Setup Delay,10-60
Press_Line_16,89.38,94.98,97.6,82.86,10.62,5.02,2.4,Availability,Electrical / Control Fault,10-90
CNC_Milling_6,88.12,93.57,97.89,80.72,11.88,6.43,2.11,Availability,Changeover / Setup Delay,10-60
CNC_Milling_20,86.46,99.2,99.13,85.02,13.54,0.8,0.87,Availability,Electrical / Control Fault,10-90
Assembly_Line_2,88.54,97.6,99.41,85.91,11.46,2.4,0.59,Availability,Changeover / Setup Delay,10-60
Press_Line_1,88.12,99.19,98.8,86.36,11.88,0.81,1.2,Availability,Mechanical Breakdown,30-240
Press_Line_1,90.21,92.83,97.49,81.64,9.79,7.17,2.51,Mixed Loss - Availability (9.79%) + Performance (7.17%),Changeover / Setup Delay,10-60
Assembly_Line_10,89.38,93.93,97.6,81.94,10.62,6.07,2.4,Mixed Loss - Availability (10.62%) + Performance (6.07%),Electrical / Control Fault,10-90
Press_Line_3,90.83,93.18,97.54,82.56,9.17,6.82,2.46,Mixed Loss - Availability (9.17%) + Performance (6.82%),Changeover / Setup Delay,10-60
Press_Line_2,89.38,98.88,98.57,87.11,10.62,1.12,1.43,Availability,Electrical / Control Fault,10-90
Assembly_Line_8,97.5,68.43,99.16,66.16,2.5,31.57,0.84,Performance,Reduced Speed Loss,Variable
CNC_Milling_17,86.67,98.71,99.53,85.15,13.33,1.29,0.47,Availability,Electrical / Control Fault,10-90
Assembly_Line_18,96.88,66.76,96.98,62.73,3.12,33.24,3.02,Performance,Reduced Speed Loss,Variable
Assembly_Line_16,97.29,66.49,98.07,63.44,2.71,33.51,1.93,Performance,Reduced Speed Loss,Variable
Assembly_Line_1,88.12,97.84,99.25,85.57,11.88,2.16,0.75,Availability,Changeover / Setup Delay,10-60
CNC_Milling_10,88.54,94.87,97.77,82.12,11.46,5.13,2.23,Availability,Changeover / Setup Delay,10-60
Press_Line_9,90.83,93.92,98.29,83.85,9.17,6.08,1.71,Mixed Loss - Availability (9.17%) + Performance (6.08%),Changeover / Setup Delay,10-60
Assembly_Line_13,96.67,73.67,97.28,69.27,3.33,26.33,2.72,Performance,Reduced Speed Loss,Variable
CNC_Milling_9,88.75,92.85,97.57,80.4,11.25,7.15,2.43,Mixed Loss - Availability (11.25%) + Performance (7.15%),Electrical / Control Fault,10-90
Assembly_Line_11,88.75,98.87,97.36,85.43,11.25,1.13,2.64,Availability,Mechanical Breakdown,30-240
CNC_Milling_17,88.96,92.15,97.57,79.98,11.04,7.85,2.43,Mixed Loss - Availability (11.04%) + Performance (7.85%),Electrical / Control Fault,10-90
Assembly_Line_2,91.04,92.69,98.49,83.11,8.96,7.31,1.51,Mixed Loss - Availability (8.96%) + Performance (7.31%),Changeover / Setup Delay,10-60
Assembly_Line_1,88.96,95.83,99.24,84.6,11.04,4.17,0.76,Availability,Mechanical Breakdown,30-240
Assembly_Line_14,95.83,68.98,97.89,64.71,4.17,31.02,2.11,Performance,Reduced Speed Loss,Variable
Press_Line_7,90.42,94.01,97.33,82.73,9.58,5.99,2.67,Mixed Loss - Availability (9.58%) + Performance (5.99%),Electrical / Control Fault,10-90
Assembly_Line_10,90.62,92.32,99.31,83.09,9.38,7.68,0.69,Mixed Loss - Availability (9.38%) + Performance (7.68%),Electrical / Control Fault,10-90
Assembly_Line_13,89.79,96.9,97.45,84.79,10.21,3.1,2.55,Availability,Changeover / Setup Delay,10-60
Assembly_Line_1,90.21,92.36,98.45,82.02,9.79,7.64,1.55,Mixed Loss - Availability (9.79%) + Performance (7.64%),Changeover / Setup Delay,10-60
CNC_Milling_10,88.12,98.72,97.41,84.75,11.88,1.28,2.59,Availability,Changeover / Setup Delay,10-60
CNC_Milling_19,89.38,92.23,97.07,80.01,10.62,7.77,2.93,Mixed Loss - Availability (10.62%) + Performance (7.77%),Changeover / Setup Delay,10-60
Assembly_Line_10,97.08,72.55,97.55,68.71,2.92,27.45,2.45,Performance,Reduced Speed Loss,Variable
CNC_Milling_18,87.92,99.94,98.28,86.35,12.08,0.06,1.72,Availability,Electrical / Control Fault,10-90
Press_Line_20,92.08,94.12,99.28,86.04,7.92,5.88,0.72,No Significant Loss,Changeover / Setup Delay,10-60
CNC_Milling_11,88.33,98.14,97.72,84.71,11.67,1.86,2.28,Availability,Changeover / Setup Delay,10-60
Assembly_Line_9,97.71,67.74,99.52,65.87,2.29,32.26,0.48,Performance,Reduced Speed Loss,Variable
CNC_Milling_11,96.67,63.88,96.79,59.77,3.33,36.12,3.21,Performance,Reduced Speed Loss,Variable
CNC_Milling_18,88.54,98.38,97.4,84.84,11.46,1.62,2.6,Availability,Changeover / Setup Delay,10-60
CNC_Milling_6,89.58,95.15,97.96,83.5,10.42,4.85,2.04,Availability,Electrical / Control Fault,10-90
Press_Line_16,90.0,98.56,97.99,86.92,10.0,1.44,2.01,Availability,Electrical / Control Fault,10-90
Assembly_Line_7,90.62,95.98,99.1,86.2,9.38,4.02,0.9,Availability,Changeover / Setup Delay,10-60
Assembly_Line_6,90.83,95.06,98.41,84.98,9.17,4.94,1.59,Mixed Loss - Availability (9.17%) + Performance (4.94%),Electrical / Control Fault,10-90
CNC_Milling_6,89.17,97.94,97.21,84.89,10.83,2.06,2.79,Availability,Electrical / Control Fault,10-90
Assembly_Line_20,98.54,69.06,99.15,67.47,1.46,30.94,0.85,Performance,Reduced Speed Loss,Variable
Assembly_Line_19,100.0,68.27,97.66,66.67,0.0,31.73,2.34,Performance,No Fault / Normal Operation,0
Assembly_Line_19,100.0,68.27,97.66,66.67,0.0,31.73,2.34,Performance,No Fault / Normal Operation,0
CNC_Milling_6,88.75,99.18,98.81,86.98,11.25,0.82,1.19,Availability,Changeover / Setup Delay,10-60
Assembly_Line_15,98.75,66.38,97.1,63.65,1.25,33.62,2.9,Performance,Reduced Speed Loss,Variable
Press_Line_7,91.88,91.9,97.32,82.17,8.12,8.1,2.68,Mixed Loss - Availability (8.12%) + Performance (8.10%),Changeover / Setup Delay,10-60
CNC_Milling_17,88.54,99.32,98.19,86.35,11.46,0.68,1.81,Availability,Mechanical Breakdown,30-240
Assembly_Line_14,96.04,73.18,97.03,68.19,3.96,26.82,2.97,Performance,Reduced Speed Loss,Variable
Press_Line_9,90.83,98.48,97.82,87.51,9.17,1.52,2.18,Availability,Material / Operator Shortage,Variable
CNC_Milling_9,89.38,96.67,98.61,85.2,10.62,3.33,1.39,Availability,Electrical / Control Fault,10-90
Press_Line_7,99.17,69.71,98.77,68.28,0.83,30.29,1.23,Performance,Reduced Speed Loss,Variable
CNC_Milling_14,90.42,92.16,97.01,80.84,9.58,7.84,2.99,Mixed Loss - Availability (9.58%) + Performance (7.84%),Changeover / Setup Delay,10-60
CNC_Milling_16,96.88,68.14,100.0,66.01,3.12,31.86,0.0,Performance,Reduced Speed Loss,Variable
Press_Line_11,91.46,98.08,97.22,87.2,8.54,1.92,2.78,Availability,Mechanical Breakdown,30-240
Press_Line_16,91.67,95.66,97.68,85.65,8.33,4.34,2.32,Mixed Loss - Availability (8.33%) + Performance (4.34%),Material / Operator Shortage,Variable
CNC_Milling_1,90.62,92.6,97.64,81.94,9.38,7.4,2.36,Mixed Loss - Availability (9.38%) + Performance (7.40%),Mechanical Breakdown,30-240
CNC_Milling_11,90.62,93.03,98.12,82.73,9.38,6.97,1.88,Mixed Loss - Availability (9.38%) + Performance (6.97%),Electrical / Control Fault,10-90
Assembly_Line_16,90.0,99.31,97.9,87.5,10.0,0.69,2.1,Availability,Changeover / Setup Delay,10-60
Assembly_Line_14,90.42,95.43,99.19,85.59,9.58,4.57,0.81,Availability,Material / Operator Shortage,Variable
CNC_Milling_11,98.33,61.99,98.05,59.77,1.67,38.01,1.95,Performance,Reduced Speed Loss,Variable
Press_Line_13,92.08,97.34,98.36,88.16,7.92,2.66,1.64,No Significant Loss,Material / Operator Shortage,Variable
CNC_Milling_5,89.79,96.01,98.56,84.98,10.21,3.99,1.44,Availability,Mechanical Breakdown,30-240
Press_Line_5,91.25,96.9,98.48,87.08,8.75,3.1,1.52,Availability,Electrical / Control Fault,10-90
Assembly_Line_17,90.42,99.57,99.1,89.22,9.58,0.43,0.9,Availability,Electrical / Control Fault,10-90
Press_Line_2,93.33,94.69,97.14,85.85,6.67,5.31,2.86,No Significant Loss,Electrical / Control Fault,10-90
CNC_Milling_8,97.92,70.9,99.53,69.1,2.08,29.1,0.47,Performance,Reduced Speed Loss,Variable
Assembly_Line_15,97.92,71.47,99.55,69.67,2.08,28.53,0.45,Performance,Reduced Speed Loss,Variable
CNC_Milling_7,91.67,93.35,98.11,83.96,8.33,6.65,1.89,Mixed Loss - Availability (8.33%) + Performance (6.65%),Changeover / Setup Delay,10-60
CNC_Milling_1,89.58,98.98,98.66,87.48,10.42,1.02,1.34,Availability,Electrical / Control Fault,10-90
Press_Line_6,92.92,92.26,98.77,84.67,7.08,7.74,1.23,No Significant Loss,Electrical / Control Fault,10-90
Assembly_Line_11,92.08,93.09,99.66,85.43,7.92,6.91,0.34,No Significant Loss,Electrical / Control Fault,10-90
Press_Line_16,91.88,96.55,97.71,86.67,8.12,3.45,2.29,Mixed Loss - Availability (8.12%) + Performance (3.45%),Mechanical Breakdown,30-240
Assembly_Line_12,92.5,93.11,99.06,85.31,7.5,6.89,0.94,No Significant Loss,Electrical / Control Fault,10-90
Press_Line_16,91.46,97.82,98.01,87.69,8.54,2.18,1.99,Availability,Electrical / Control Fault,10-90
CNC_Milling_15,90.0,98.97,98.42,87.67,10.0,1.03,1.58,Availability,Changeover / Setup Delay,10-60
Press_Line_6,91.04,99.68,97.08,88.11,8.96,0.32,2.92,Availability,Changeover / Setup Delay,10-60
Press_Line_13,93.12,96.03,97.18,86.9,6.88,3.97,2.82,No Significant Loss,Changeover / Setup Delay,10-60
Assembly_Line_18,92.08,93.18,97.35,83.53,7.92,6.82,2.65,No Significant Loss,Mechanical Breakdown,30-240
CNC_Milling_13,90.62,96.84,97.9,85.92,9.38,3.16,2.1,Availability,Changeover / Setup Delay,10-60
CNC_Milling_2,90.42,97.19,98.68,86.72,9.58,2.81,1.32,Availability,Electrical / Control Fault,10-90
Press_Line_14,93.54,94.05,98.21,86.4,6.46,5.95,1.79,No Significant Loss,Changeover / Setup Delay,10-60
Press_Line_2,94.38,94.09,95.26,84.59,5.62,5.91,4.74,No Significant Loss,Calibration / Instrumentation Fault,5-30
Press_Line_1,91.25,98.67,99.71,89.78,8.75,1.33,0.29,Availability,Material / Operator Shortage,Variable
Press_Line_17,97.29,84.03,97.22,79.48,2.71,15.97,2.78,Performance,Reduced Speed Loss,Variable
Press_Line_3,95.0,92.26,92.35,80.94,5.0,7.74,7.65,No Significant Loss,Calibration / Instrumentation Fault,5-30
CNC_Milling_20,91.25,94.81,98.28,85.02,8.75,5.19,1.72,Mixed Loss - Availability (8.75%) + Performance (5.19%),Mechanical Breakdown,30-240
Press_Line_11,91.67,99.09,99.5,90.38,8.33,0.91,0.5,Availability,Mechanical Breakdown,30-240
Assembly_Line_18,92.08,94.59,97.76,85.15,7.92,5.41,2.24,No Significant Loss,Electrical / Control Fault,10-90
CNC_Milling_19,96.46,72.53,99.43,69.56,3.54,27.47,0.57,Performance,Reduced Speed Loss,Variable
Assembly_Line_12,92.92,94.73,97.54,85.85,7.08,5.27,2.46,No Significant Loss,Changeover / Setup Delay,10-60
