Date,Machine ID,Shift,Planned Time (min),Downtime (min),Total Parts Produced,Defective Parts,Ideal Cycle Time (min/unit),Error Code,Operator ID,Availability,Performance,Quality,OEE
26-06-2026,Press_Line_5,Morning,480,0,355,7,1.29,DT-00,OP-038,100.0,95.41,98.03,93.52
21-04-2026,Press_Line_15,Afternoon,480,68,302,3,1.26,DT-02,OP-034,85.83,92.36,99.01,78.49
06-07-2026,CNC_Milling_18,Night,480,4,227,4,1.81,DT-04,OP-083,99.17,86.32,98.24,84.09
06-05-2026,Assembly_Line_19,Afternoon,480,2,302,7,1.28,DT-04,OP-077,99.58,80.87,97.68,78.67
28-06-2026,Assembly_Line_19,Afternoon,480,0,359,4,1.28,DT-00,OP-052,100.0,95.73,98.89,94.67
21-05-2026,CNC_Milling_13,Night,480,0,251,1,1.77,DT-00,OP-056,100.0,92.56,99.6,92.19
28-05-2026,CNC_Milling_19,Afternoon,480,0,233,5,1.93,DT-00,OP-111,100.0,93.69,97.85,91.68
29-06-2026,CNC_Milling_18,Morning,480,101,206,4,1.81,DT-08,OP-098,78.96,98.38,98.06,76.17
09-05-2026,CNC_Milling_11,Night,480,45,213,4,1.9,DT-02,OP-082,90.62,93.03,98.12,82.73
18-06-2026,Press_Line_6,Afternoon,480,0,357,7,1.27,DT-00,OP-110,100.0,94.46,98.04,92.6
07-05-2026,CNC_Milling_2,Afternoon,480,46,228,3,1.85,DT-02,OP-098,90.42,97.19,98.68,86.72
26-06-2026,Press_Line_3,Afternoon,480,0,406,2,1.11,DT-00,OP-099,100.0,93.89,99.51,93.42
07-06-2026,Assembly_Line_16,Night,480,1,286,5,1.5,DT-04,OP-053,99.79,89.56,98.25,87.81
23-04-2026,Press_Line_13,Night,480,0,465,9,1.01,DT-00,OP-098,100.0,97.84,98.06,95.95
23-04-2026,Press_Line_14,Afternoon,480,0,441,6,1.08,DT-00,OP-090,100.0,99.22,98.64,97.88
18-06-2026,Press_Line_8,Morning,480,12,443,45,1.03,DT-07,OP-002,97.5,97.5,89.84,85.4
26-06-2026,CNC_Milling_7,Morning,480,0,305,2,1.55,DT-00,OP-016,100.0,98.49,99.34,97.84
08-07-2026,Assembly_Line_14,Morning,480,0,280,5,1.67,DT-00,OP-035,100.0,97.42,98.21,95.68
09-06-2026,Assembly_Line_14,Afternoon,480,46,248,2,1.67,DT-08,OP-025,90.42,95.43,99.19,85.59
02-07-2026,CNC_Milling_13,Night,480,2,180,4,1.77,DT-05,OP-054,99.58,66.65,97.78,64.9
30-05-2026,Assembly_Line_20,Night,480,0,317,7,1.39,DT-00,OP-108,100.0,91.8,97.79,89.77
01-07-2026,CNC_Milling_18,Night,480,0,247,4,1.81,DT-00,OP-045,100.0,93.14,98.38,91.63
29-05-2026,CNC_Milling_16,Night,480,0,268,7,1.78,DT-00,OP-090,100.0,99.38,97.39,96.79
17-05-2026,CNC_Milling_17,Afternoon,480,0,246,1,1.91,DT-00,OP-096,100.0,97.89,99.59,97.49
16-06-2026,Assembly_Line_6,Afternoon,480,0,353,9,1.32,DT-00,OP-020,100.0,97.08,97.45,94.6
19-06-2026,Press_Line_3,Morning,480,0,418,11,1.11,DT-00,OP-112,100.0,96.66,97.37,94.12
12-06-2026,Press_Line_7,Night,480,0,275,4,1.36,DT-05,OP-084,100.0,77.92,98.55,76.78
06-05-2026,Press_Line_5,Afternoon,480,26,333,7,1.29,DT-03,OP-084,94.58,94.62,97.9,87.61
27-04-2026,Assembly_Line_15,Afternoon,480,14,269,8,1.52,DT-04,OP-081,97.08,87.74,97.03,82.65
18-06-2026,Assembly_Line_16,Night,480,0,296,6,1.5,DT-00,OP-118,100.0,92.5,97.97,90.62
23-05-2026,Press_Line_15,Night,480,0,380,9,1.26,DT-00,OP-091,100.0,99.75,97.63,97.39
29-04-2026,CNC_Milling_9,Morning,480,13,224,5,1.92,DT-02,OP-038,97.29,92.09,97.77,87.6
01-06-2026,CNC_Milling_4,Afternoon,480,0,292,5,1.58,DT-00,OP-102,100.0,96.12,98.29,94.47
10-05-2026,Press_Line_11,Morning,480,0,435,8,1.09,DT-00,OP-031,100.0,98.78,98.16,96.96
19-06-2026,Assembly_Line_19,Night,480,0,358,3,1.28,DT-00,OP-033,100.0,95.47,99.16,94.67
11-07-2026,Press_Line_1,Afternoon,480,17,234,3,1.26,DT-05,OP-045,96.46,63.68,98.72,60.64
01-07-2026,Press_Line_20,Night,480,13,446,45,1.0,DT-07,OP-050,97.29,95.5,89.91,83.54
17-06-2026,Press_Line_7,Morning,480,0,334,3,1.36,DT-00,OP-090,100.0,94.63,99.1,93.78
24-05-2026,Press_Line_2,Night,480,0,437,11,1.01,DT-00,OP-100,100.0,91.95,97.48,89.64
23-04-2026,Assembly_Line_19,Night,480,28,346,3,1.28,DT-03,OP-103,94.17,97.98,99.13,91.47
01-06-2026,Press_Line_15,Night,480,0,358,8,1.26,DT-00,OP-099,100.0,93.98,97.77,91.88
10-07-2026,Assembly_Line_4,Morning,480,190,210,2,1.34,DT-01,OP-057,60.42,97.03,99.05,58.07
21-04-2026,CNC_Milling_18,Afternoon,480,15,255,3,1.81,DT-03,OP-054,96.88,99.26,98.82,95.02
09-05-2026,Press_Line_13,Morning,480,33,425,12,1.01,DT-03,OP-107,93.12,96.03,97.18,86.9
08-05-2026,Press_Line_17,Afternoon,480,14,418,43,1.09,DT-07,OP-015,97.08,97.77,89.71,85.16
15-06-2026,Press_Line_5,Morning,480,24,349,8,1.29,DT-03,OP-051,95.0,98.73,97.71,91.64
27-06-2026,CNC_Milling_4,Morning,480,10,279,2,1.58,DT-03,OP-048,97.92,93.79,99.28,91.18
12-07-2026,Assembly_Line_8,Night,480,0,340,7,1.34,DT-00,OP-048,100.0,94.92,97.94,92.96
30-04-2026,Assembly_Line_4,Morning,480,0,347,10,1.34,DT-00,OP-042,100.0,96.87,97.12,94.08
04-07-2026,Press_Line_15,Night,480,0,375,10,1.26,DT-00,OP-039,100.0,98.44,97.33,95.81
09-07-2026,CNC_Milling_7,Morning,480,0,308,3,1.55,DT-00,OP-064,100.0,99.46,99.03,98.49
01-05-2026,Press_Line_7,Morning,480,4,244,3,1.36,DT-05,OP-096,99.17,69.71,98.77,68.28
15-07-2026,CNC_Milling_15,Afternoon,480,216,145,2,1.69,DT-01,OP-013,55.0,92.82,98.62,50.35
18-06-2026,CNC_Milling_20,Afternoon,480,13,240,13,1.79,DT-06,OP-057,97.29,91.99,94.58,84.65
12-06-2026,Press_Line_16,Afternoon,480,0,383,7,1.22,DT-00,OP-083,100.0,97.35,98.17,95.57
01-06-2026,Press_Line_4,Afternoon,480,0,439,13,1.09,DT-00,OP-106,100.0,99.69,97.04,96.74
14-06-2026,Press_Line_6,Night,480,0,367,11,1.27,DT-00,OP-007,100.0,97.1,97.0,94.19
29-05-2026,Press_Line_16,Morning,480,23,346,8,1.22,DT-03,OP-027,95.21,92.37,97.69,85.91
01-07-2026,Press_Line_14,Morning,480,0,414,11,1.08,DT-00,OP-001,100.0,93.15,97.34,90.68
22-05-2026,Assembly_Line_15,Morning,480,84,244,2,1.52,DT-08,OP-085,82.5,93.66,99.18,76.63
20-04-2026,Press_Line_9,Morning,480,0,403,7,1.17,DT-00,OP-003,100.0,98.23,98.26,96.52
09-05-2026,Press_Line_17,Morning,480,0,419,2,1.09,DT-00,OP-009,100.0,95.15,99.52,94.69
16-06-2026,CNC_Milling_9,Afternoon,480,0,232,4,1.92,DT-00,OP-079,100.0,92.8,98.28,91.2
22-04-2026,Assembly_Line_7,Night,480,0,367,11,1.25,DT-00,OP-008,100.0,95.57,97.0,92.71
17-06-2026,Assembly_Line_15,Afternoon,480,0,293,6,1.52,DT-00,OP-057,100.0,92.78,97.95,90.88
26-04-2026,Assembly_Line_18,Morning,480,0,286,2,1.56,DT-00,OP-080,100.0,92.95,99.3,92.3
07-07-2026,CNC_Milling_18,Night,480,58,233,4,1.81,DT-02,OP-059,87.92,99.94,98.28,86.35
20-06-2026,CNC_Milling_19,Afternoon,480,0,242,6,1.93,DT-00,OP-084,100.0,97.3,97.52,94.89
26-06-2026,Assembly_Line_7,Morning,480,0,380,5,1.25,DT-00,OP-106,100.0,98.96,98.68,97.66
14-06-2026,CNC_Milling_6,Afternoon,480,50,245,5,1.67,DT-02,OP-048,89.58,95.15,97.96,83.5
06-05-2026,Assembly_Line_4,Afternoon,480,0,353,2,1.34,DT-00,OP-013,100.0,98.55,99.43,97.99
03-06-2026,Assembly_Line_12,Morning,480,180,229,4,1.3,DT-01,OP-086,62.5,99.23,98.25,60.94
02-05-2026,CNC_Milling_7,Afternoon,480,13,246,5,1.55,DT-05,OP-037,97.29,81.65,97.97,77.82
02-07-2026,Press_Line_20,Afternoon,480,0,461,3,1.0,DT-00,OP-062,100.0,96.04,99.35,95.42
15-05-2026,Assembly_Line_15,Morning,480,0,304,2,1.52,DT-00,OP-036,100.0,96.27,99.34,95.63
29-06-2026,Press_Line_15,Afternoon,480,13,342,7,1.26,DT-04,OP-083,97.29,92.27,97.95,87.94
27-06-2026,Press_Line_2,Night,480,27,422,20,1.01,DT-06,OP-090,94.38,94.09,95.26,84.59
26-05-2026,Assembly_Line_19,Afternoon,480,0,350,2,1.28,DT-00,OP-085,100.0,93.33,99.43,92.8
07-06-2026,Press_Line_5,Morning,480,11,337,6,1.29,DT-03,OP-049,97.71,92.69,98.22,88.96
09-06-2026,CNC_Milling_10,Afternoon,480,0,251,3,1.8,DT-00,OP-073,100.0,94.12,98.8,93.0
02-07-2026,Press_Line_6,Morning,480,0,370,1,1.27,DT-00,OP-011,100.0,97.9,99.73,97.63
21-05-2026,CNC_Milling_9,Night,480,0,242,3,1.92,DT-00,OP-028,100.0,96.8,98.76,95.6
21-06-2026,Press_Line_8,Afternoon,480,0,439,9,1.03,DT-00,OP-063,100.0,94.2,97.95,92.27
23-06-2026,Assembly_Line_3,Afternoon,480,0,348,7,1.31,DT-00,OP-001,100.0,94.98,97.99,93.06
13-05-2026,Press_Line_20,Morning,480,58,396,4,1.0,DT-03,OP-001,87.92,93.84,98.99,81.67
19-06-2026,Assembly_Line_8,Afternoon,480,0,340,7,1.34,DT-00,OP-065,100.0,94.92,97.94,92.96
27-06-2026,Assembly_Line_14,Night,480,2,246,6,1.67,DT-04,OP-056,99.58,85.95,97.56,83.5
19-04-2026,CNC_Milling_10,Morning,480,10,225,3,1.8,DT-04,OP-082,97.92,86.17,98.67,83.25
09-06-2026,Press_Line_19,Morning,480,0,362,2,1.32,DT-00,OP-080,100.0,99.55,99.45,99.0
14-06-2026,Assembly_Line_14,Night,480,2,202,1,1.67,DT-05,OP-056,99.58,70.57,99.5,69.93
01-07-2026,CNC_Milling_6,Night,480,0,284,6,1.67,DT-00,OP-029,100.0,98.81,97.89,96.72
29-05-2026,Assembly_Line_10,Morning,480,0,337,6,1.38,DT-00,OP-025,100.0,96.89,98.22,95.16
31-05-2026,CNC_Milling_3,Night,480,9,264,24,1.67,DT-07,OP-026,98.12,93.61,90.91,83.5
09-05-2026,CNC_Milling_19,Morning,480,51,205,6,1.93,DT-03,OP-081,89.38,92.23,97.07,80.01
19-06-2026,CNC_Milling_10,Night,480,38,239,6,1.8,DT-03,OP-083,92.08,97.33,97.49,87.37
07-07-2026,CNC_Milling_20,Afternoon,480,11,222,3,1.79,DT-04,OP-061,97.71,84.73,98.65,81.67
12-06-2026,Assembly_Line_1,Afternoon,480,47,258,4,1.55,DT-03,OP-040,90.21,92.36,98.45,82.02
15-06-2026,CNC_Milling_9,Morning,480,0,246,1,1.92,DT-00,OP-111,100.0,98.4,99.59,98.0
28-04-2026,CNC_Milling_20,Night,480,0,256,4,1.79,DT-00,OP-102,100.0,95.47,98.44,93.98
22-04-2026,CNC_Milling_9,Night,480,51,216,3,1.92,DT-02,OP-008,89.38,96.67,98.61,85.2
13-06-2026,Press_Line_7,Afternoon,480,25,321,2,1.36,DT-08,OP-032,94.79,95.95,99.38,90.38
12-06-2026,CNC_Milling_9,Night,480,0,233,3,1.92,DT-00,OP-037,100.0,93.2,98.71,92.0
05-06-2026,CNC_Milling_7,Afternoon,480,16,294,6,1.55,DT-02,OP-009,96.67,98.21,97.96,93.0
29-05-2026,Press_Line_7,Night,480,46,300,8,1.36,DT-02,OP-117,90.42,94.01,97.33,82.73
03-07-2026,Assembly_Line_16,Morning,480,0,309,2,1.5,DT-00,OP-045,100.0,96.56,99.35,95.94
26-05-2026,Assembly_Line_2,Night,480,26,360,10,1.22,DT-02,OP-040,94.58,96.74,97.22,88.96
27-06-2026,CNC_Milling_5,Night,480,18,227,6,1.98,DT-03,OP-095,96.25,97.29,97.36,91.16
13-07-2026,Assembly_Line_19,Night,480,0,365,6,1.28,DT-00,OP-003,100.0,97.33,98.36,95.73
02-06-2026,Press_Line_20,Morning,480,15,463,53,1.0,DT-07,OP-029,96.88,99.57,88.55,85.42
04-05-2026,Press_Line_10,Morning,480,0,467,8,1.01,DT-00,OP-070,100.0,98.26,98.29,96.58
23-06-2026,Press_Line_3,Night,480,0,424,2,1.11,DT-00,OP-049,100.0,98.05,99.53,97.59
06-05-2026,Press_Line_11,Morning,480,13,382,10,1.09,DT-04,OP-093,97.29,89.16,97.38,84.48
12-06-2026,Press_Line_3,Afternoon,480,0,422,12,1.11,DT-00,OP-079,100.0,97.59,97.16,94.81
23-05-2026,Assembly_Line_9,Night,480,24,288,3,1.52,DT-03,OP-104,95.0,96.0,98.96,90.25
16-06-2026,Assembly_Line_18,Morning,480,0,306,9,1.56,DT-00,OP-060,100.0,99.45,97.06,96.52
23-05-2026,Assembly_Line_10,Afternoon,480,0,331,2,1.38,DT-00,OP-026,100.0,95.16,99.4,94.59
03-07-2026,Press_Line_9,Afternoon,480,0,393,5,1.17,DT-00,OP-120,100.0,95.79,98.73,94.58
30-04-2026,Assembly_Line_6,Night,480,5,292,2,1.32,DT-04,OP-058,98.96,81.15,99.32,79.75
21-06-2026,Press_Line_10,Afternoon,480,0,471,12,1.01,DT-00,OP-114,100.0,99.11,97.45,96.58
31-05-2026,Assembly_Line_20,Morning,480,0,328,4,1.39,DT-00,OP-050,100.0,94.98,98.78,93.82
27-04-2026,CNC_Milling_4,Morning,480,0,302,8,1.58,DT-00,OP-084,100.0,99.41,97.35,96.78
29-05-2026,Assembly_Line_11,Morning,480,0,325,8,1.39,DT-00,OP-090,100.0,94.11,97.54,91.8
04-05-2026,Assembly_Line_9,Night,480,0,306,8,1.52,DT-00,OP-003,100.0,96.9,97.39,94.37
19-05-2026,Press_Line_14,Morning,480,0,434,7,1.08,DT-00,OP-015,100.0,97.65,98.39,96.08
23-05-2026,Press_Line_16,Afternoon,480,0,369,7,1.22,DT-00,OP-080,100.0,93.79,98.1,92.01
14-06-2026,Press_Line_5,Morning,480,8,325,1,1.29,DT-04,OP-066,98.33,88.82,99.69,87.07
29-06-2026,Press_Line_16,Night,480,0,375,7,1.22,DT-00,OP-031,100.0,95.31,98.13,93.53
29-06-2026,CNC_Milling_7,Morning,480,20,285,3,1.55,DT-02,OP-068,95.83,96.03,98.95,91.06
