Date,Machine ID,Shift,Planned Time (min),Downtime (min),Total Parts Produced,Defective Parts,Ideal Cycle Time (min/unit),Error Code,Operator ID
2026-04-20,Assembly_Line_6,Night,480.0,0.0,351.0,2.0,1.32,DT-00,OP-025
2026-04-20,CNC_Milling_10,Afternoon,480.0,55.0,224.0,5.0,1.8,DT-03,OP-048
2026-04-20,CNC_Milling_10,Night,480.0,57.0,232.0,6.0,1.8,DT-03,OP-054
2026-04-20,CNC_Milling_11,Morning,480.0,0.0,240.0,6.0,1.9,DT-00,OP-029
2026-04-20,Press_Line_10,Night,480.0,66.0,378.0,1.0,1.01,DT-02,OP-100
2026-04-20,Press_Line_16,Afternoon,480.0,0.0,376.0,11.0,1.22,DT-00,OP-061
2026-04-20,Press_Line_6,Morning,480.0,29.0,343.0,23.0,1.27,DT-06,OP-099
2026-04-20,Press_Line_9,Morning,480.0,0.0,403.0,7.0,1.17,DT-00,OP-003
2026-04-21,Assembly_Line_10,Morning,480.0,14.0,245.0,6.0,1.38,DT-05,OP-116
2026-04-21,Assembly_Line_14,Morning,480.0,26.0,251.0,10.0,1.67,DT-06,OP-018
2026-04-21,Assembly_Line_16,Afternoon,480.0,0.0,300.0,6.0,1.5,DT-00,OP-028
2026-04-21,Assembly_Line_19,Morning,480.0,0.0,370.0,10.0,1.28,DT-00,OP-005
2026-04-21,Assembly_Line_3,Afternoon,480.0,0.0,357.0,10.0,1.31,DT-00,OP-074
2026-04-21,CNC_Milling_10,Afternoon,480.0,76.0,208.0,2.0,1.8,DT-02,OP-006
2026-04-21,CNC_Milling_13,Afternoon,480.0,0.0,264.0,2.0,1.77,DT-00,OP-016
2026-04-21,CNC_Milling_13,Night,480.0,18.0,200.0,4.0,1.77,DT-05,OP-016
2026-04-21,CNC_Milling_16,Night,480.0,36.0,233.0,2.0,1.78,DT-03,OP-118
2026-04-21,CNC_Milling_18,Afternoon,480.0,15.0,255.0,3.0,1.81,DT-03,OP-054
2026-04-21,Press_Line_1,Afternoon,480.0,57.0,333.0,4.0,1.26,DT-01,OP-059
2026-04-21,Press_Line_15,Afternoon,480.0,68.0,302.0,3.0,1.26,DT-02,OP-034
2026-04-21,Press_Line_19,Morning,480.0,0.0,362.0,1.0,1.32,DT-00,OP-022
2026-04-21,Press_Line_7,Night,480.0,0.0,345.0,4.0,1.36,DT-00,OP-078
2026-04-22,Assembly_Line_17,Morning,480.0,0.0,354.0,8.0,1.29,DT-00,OP-072
2026-04-22,Assembly_Line_18,Afternoon,480.0,0.0,289.0,1.0,1.56,DT-00,OP-100
2026-04-22,Assembly_Line_18,Morning,480.0,0.0,303.0,7.0,1.56,DT-00,OP-053
2026-04-22,Assembly_Line_7,Afternoon,480.0,141.0,255.0,8.0,1.25,DT-01,OP-008
2026-04-22,Assembly_Line_7,Night,480.0,0.0,367.0,11.0,1.25,DT-00,OP-008
2026-04-22,CNC_Milling_10,Morning,480.0,0.0,257.0,6.0,1.8,DT-00,OP-051
2026-04-22,CNC_Milling_11,Afternoon,480.0,0.0,235.0,7.0,1.9,DT-00,OP-110
2026-04-22,CNC_Milling_12,Night,480.0,0.0,243.0,5.0,1.86,DT-00,OP-025
2026-04-22,CNC_Milling_16,Afternoon,480.0,15.0,178.0,0.0,1.78,DT-05,OP-086
2026-04-22,CNC_Milling_18,Night,480.0,0.0,256.0,3.0,1.81,DT-00,OP-012
2026-04-22,CNC_Milling_6,Morning,480.0,0.0,279.0,5.0,1.67,DT-00,OP-087
2026-04-22,CNC_Milling_9,Night,480.0,51.0,216.0,3.0,1.92,DT-02,OP-008
2026-04-22,Press_Line_1,Morning,480.0,31.0,337.0,9.0,1.26,DT-02,OP-080
2026-04-22,Press_Line_20,Afternoon,480.0,0.0,461.0,8.0,1.0,DT-00,OP-056
2026-04-22,Press_Line_3,Morning,480.0,70.0,355.0,2.0,1.11,DT-02,OP-115
2026-04-22,Press_Line_7,Night,480.0,39.0,298.0,8.0,1.36,DT-03,OP-021
2026-04-23,Assembly_Line_16,Afternoon,480.0,20.0,285.0,39.0,1.5,DT-07,OP-072
2026-04-23,Assembly_Line_16,Morning,480.0,0.0,298.0,6.0,1.5,DT-00,OP-077
2026-04-23,Assembly_Line_16,Night,480.0,0.0,297.0,4.0,1.5,DT-00,OP-114
2026-04-23,Assembly_Line_17,Afternoon,480.0,0.0,369.0,5.0,1.29,DT-00,OP-050
2026-04-23,Assembly_Line_19,Night,480.0,28.0,346.0,3.0,1.28,DT-03,OP-103
2026-04-23,Assembly_Line_3,Night,480.0,0.0,343.0,2.0,1.31,DT-00,OP-043
2026-04-23,Assembly_Line_4,Night,480.0,27.0,312.0,7.0,1.34,DT-08,OP-103
2026-04-23,CNC_Milling_16,Morning,480.0,3.0,191.0,5.0,1.78,DT-05,OP-086
2026-04-23,CNC_Milling_3,Morning,480.0,15.0,272.0,8.0,1.67,DT-02,OP-026
2026-04-23,CNC_Milling_6,Night,480.0,0.0,275.0,1.0,1.67,DT-00,OP-001
2026-04-23,Press_Line_13,Night,480.0,0.0,465.0,9.0,1.01,DT-00,OP-098
2026-04-23,Press_Line_14,Afternoon,480.0,0.0,441.0,6.0,1.08,DT-00,OP-090
2026-04-23,Press_Line_16,Night,480.0,0.0,375.0,6.0,1.22,DT-00,OP-097
2026-04-23,Press_Line_17,Afternoon,480.0,0.0,421.0,5.0,1.09,DT-00,OP-113
2026-04-23,Press_Line_6,Afternoon,480.0,0.0,369.0,10.0,1.27,DT-00,OP-081
2026-04-23,Press_Line_6,Night,480.0,0.0,356.0,1.0,1.27,DT-00,OP-099
2026-04-24,Assembly_Line_11,Afternoon,480.0,0.0,335.0,5.0,1.39,DT-00,OP-054
2026-04-24,Assembly_Line_14,Morning,480.0,0.0,283.0,4.0,1.67,DT-00,OP-081
2026-04-24,Assembly_Line_9,Morning,480.0,234.0,153.0,4.0,1.52,DT-01,OP-109
2026-04-24,CNC_Milling_10,Morning,480.0,0.0,255.0,1.0,1.8,DT-00,OP-060
2026-04-24,CNC_Milling_13,Night,480.0,0.0,250.0,3.0,1.77,DT-00,OP-060
2026-04-24,CNC_Milling_5,Afternoon,480.0,0.0,224.0,6.0,1.98,DT-00,OP-034
2026-04-24,Press_Line_11,Afternoon,480.0,0.0,421.0,5.0,1.09,DT-00,OP-019
2026-04-24,Press_Line_18,Afternoon,480.0,0.0,370.0,3.0,1.24,DT-00,OP-108
2026-04-24,Press_Line_9,Night,480.0,44.0,367.0,8.0,1.17,DT-08,OP-041
2026-04-25,Assembly_Line_10,Afternoon,480.0,0.0,334.0,7.0,1.38,DT-00,OP-108
2026-04-25,Assembly_Line_13,Morning,480.0,0.0,349.0,7.0,1.33,DT-00,OP-009
2026-04-25,Assembly_Line_20,Afternoon,480.0,0.0,328.0,8.0,1.39,DT-00,OP-099
2026-04-25,Assembly_Line_3,Night,480.0,4.0,319.0,5.0,1.31,DT-04,OP-071
2026-04-25,Assembly_Line_9,Afternoon,480.0,2.0,265.0,2.0,1.52,DT-04,OP-089
2026-04-25,CNC_Milling_15,Morning,480.0,0.0,282.0,7.0,1.69,DT-00,OP-062
2026-04-25,CNC_Milling_3,Afternoon,480.0,56.0,233.0,3.0,1.67,DT-03,OP-094
2026-04-25,CNC_Milling_5,Afternoon,480.0,149.0,160.0,5.0,1.98,DT-01,OP-111
2026-04-25,CNC_Milling_7,Afternoon,480.0,0.0,296.0,1.0,1.55,DT-00,OP-107
2026-04-25,Press_Line_1,Afternoon,480.0,0.0,353.0,5.0,1.26,DT-00,OP-029
2026-04-25,Press_Line_12,Morning,480.0,0.0,388.0,7.0,1.2,DT-00,OP-035
2026-04-25,Press_Line_13,Afternoon,480.0,0.0,452.0,3.0,1.01,DT-00,OP-010
2026-04-25,Press_Line_6,Afternoon,480.0,171.0,230.0,2.0,1.27,DT-01,OP-059
2026-04-26,Assembly_Line_18,Morning,480.0,11.0,241.0,4.0,1.56,DT-04,OP-052
2026-04-26,Assembly_Line_18,Morning,480.0,0.0,286.0,2.0,1.56,DT-00,OP-080
2026-04-26,Assembly_Line_3,Night,480.0,0.0,352.0,8.0,1.31,DT-00,OP-021
2026-04-26,Assembly_Line_7,Afternoon,480.0,21.0,352.0,10.0,1.25,DT-03,OP-090
2026-04-26,CNC_Milling_13,Afternoon,480.0,0.0,252.0,4.0,1.77,DT-00,OP-033
2026-04-26,CNC_Milling_9,Afternoon,480.0,54.0,206.0,5.0,1.92,DT-02,OP-071
2026-04-27,Assembly_Line_10,Morning,480.0,15.0,319.0,23.0,1.38,DT-06,OP-054
2026-04-27,Assembly_Line_15,Afternoon,480.0,14.0,269.0,8.0,1.52,DT-04,OP-081
2026-04-27,Assembly_Line_17,Night,480.0,0.0,347.0,1.0,1.29,DT-00,OP-004
2026-04-27,Assembly_Line_4,Morning,480.0,0.0,336.0,2.0,1.34,DT-00,OP-048
2026-04-27,Assembly_Line_5,Afternoon,480.0,0.0,382.0,6.0,1.24,DT-00,OP-084
2026-04-27,CNC_Milling_10,Afternoon,480.0,8.0,213.0,3.0,1.8,DT-04,OP-041
2026-04-27,CNC_Milling_4,Afternoon,480.0,0.0,285.0,6.0,1.58,DT-00,OP-039
2026-04-27,CNC_Milling_4,Morning,480.0,0.0,302.0,8.0,1.58,DT-00,OP-084
2026-04-27,CNC_Milling_6,Night,480.0,0.0,280.0,7.0,1.67,DT-00,OP-062
2026-04-27,Press_Line_19,Night,480.0,13.0,235.0,1.0,1.32,DT-05,OP-096
2026-04-27,Press_Line_20,Morning,480.0,0.0,449.0,11.0,1.0,DT-00,OP-069
2026-04-28,Assembly_Line_1,Afternoon,480.0,0.0,285.0,2.0,1.55,DT-00,OP-016
2026-04-28,Assembly_Line_19,Morning,480.0,11.0,320.0,9.0,1.28,DT-04,OP-100
2026-04-28,CNC_Milling_20,Night,480.0,0.0,256.0,4.0,1.79,DT-00,OP-102
2026-04-28,CNC_Milling_6,Night,480.0,54.0,253.0,3.0,1.67,DT-03,OP-063
2026-04-28,CNC_Milling_9,Afternoon,480.0,0.0,235.0,2.0,1.92,DT-00,OP-001
2026-04-28,CNC_Milling_9,Morning,480.0,25.0,221.0,5.0,1.92,DT-03,OP-089
2026-04-28,Press_Line_13,Afternoon,480.0,0.0,468.0,11.0,1.01,DT-00,OP-098
2026-04-28,Press_Line_18,Afternoon,480.0,0.0,368.0,7.0,1.24,DT-00,OP-067
2026-04-28,Press_Line_4,Morning,480.0,0.0,411.0,9.0,1.09,DT-00,OP-079
2026-04-28,Press_Line_5,Morning,480.0,0.0,349.0,1.0,1.29,DT-00,OP-106
2026-04-29,Assembly_Line_11,Night,480.0,229.0,168.0,4.0,1.39,DT-01,OP-011
2026-04-29,Assembly_Line_9,Morning,480.0,97.0,245.0,2.0,1.52,DT-01,OP-023
2026-04-29,CNC_Milling_11,Morning,480.0,56.0,219.0,5.0,1.9,DT-03,OP-024
2026-04-29,CNC_Milling_9,Afternoon,480.0,0.0,241.0,1.0,1.92,DT-00,OP-094
2026-04-29,CNC_Milling_9,Morning,480.0,13.0,224.0,5.0,1.92,DT-02,OP-038
2026-04-29,Press_Line_12,Morning,480.0,0.0,397.0,1.0,1.2,DT-00,OP-050
2026-04-29,Press_Line_3,Afternoon,480.0,0.0,402.0,5.0,1.11,DT-00,OP-075
2026-04-29,Press_Line_7,Night,480.0,0.0,335.0,2.0,1.36,DT-00,OP-085
2026-04-29,Press_Line_9,Afternoon,480.0,8.0,329.0,2.0,1.17,DT-05,OP-111
2026-04-30,Assembly_Line_10,Afternoon,480.0,0.0,342.0,7.0,1.38,DT-00,OP-060
2026-04-30,Assembly_Line_19,Afternoon,480.0,23.0,329.0,1.0,1.28,DT-02,OP-094
2026-04-30,Assembly_Line_4,Morning,480.0,0.0,347.0,10.0,1.34,DT-00,OP-042
2026-04-30,Assembly_Line_6,Night,480.0,5.0,292.0,2.0,1.32,DT-04,OP-058
2026-04-30,Assembly_Line_8,Night,480.0,0.0,337.0,3.0,1.34,DT-00,OP-044
2026-04-30,CNC_Milling_1,Night,480.0,232.0,123.0,2.0,1.9,DT-01,OP-076
2026-04-30,CNC_Milling_13,Night,480.0,102.0,198.0,1.0,1.77,DT-01,OP-026
2026-04-30,CNC_Milling_17,Night,480.0,7.0,237.0,30.0,1.91,DT-07,OP-120
2026-04-30,CNC_Milling_5,Morning,480.0,4.0,199.0,6.0,1.98,DT-04,OP-045
2026-04-30,Press_Line_16,Morning,480.0,0.0,376.0,5.0,1.22,DT-00,OP-036
2026-04-30,Press_Line_17,Night,480.0,0.0,409.0,11.0,1.09,DT-00,OP-028
2026-04-30,Press_Line_17,Night,480.0,0.0,428.0,11.0,1.09,DT-00,OP-040
2026-04-30,Press_Line_2,Afternoon,480.0,0.0,462.0,4.0,1.01,DT-00,OP-097
2026-04-30,Press_Line_7,Afternoon,480.0,0.0,333.0,4.0,1.36,DT-00,OP-105
2026-05-01,Assembly_Line_10,Morning,480.0,8.0,330.0,48.0,1.38,DT-07,OP-074
2026-05-01,Assembly_Line_16,Afternoon,480.0,4.0,274.0,5.0,1.5,DT-04,OP-081
2026-05-01,Assembly_Line_4,Morning,480.0,72.0,282.0,5.0,1.34,DT-02,OP-104
2026-05-01,Assembly_Line_9,Afternoon,480.0,179.0,191.0,4.0,1.52,DT-01,OP-054
2026-05-01,Press_Line_13,Morning,480.0,0.0,453.0,6.0,1.01,DT-00,OP-027
2026-05-01,Press_Line_15,Night,480.0,0.0,351.0,9.0,1.26,DT-00,OP-032
2026-05-01,Press_Line_3,Night,480.0,0.0,424.0,11.0,1.11,DT-00,OP-003
2026-05-01,Press_Line_7,Morning,480.0,4.0,244.0,3.0,1.36,DT-05,OP-096
2026-05-02,Assembly_Line_10,Morning,480.0,0.0,331.0,6.0,1.38,DT-00,OP-034
2026-05-02,Assembly_Line_16,Afternoon,480.0,71.0,252.0,3.0,1.5,DT-02,OP-094
2026-05-02,Assembly_Line_16,Morning,480.0,48.0,286.0,6.0,1.5,DT-03,OP-081
2026-05-02,Assembly_Line_16,Night,480.0,0.0,302.0,1.0,1.5,DT-00,OP-110
2026-05-02,CNC_Milling_12,Night,480.0,23.0,233.0,1.0,1.86,DT-02,OP-071
2026-05-02,CNC_Milling_14,Morning,480.0,0.0,225.0,6.0,1.99,DT-00,OP-029
2026-05-02,CNC_Milling_17,Night,480.0,16.0,229.0,12.0,1.91,DT-06,OP-008
2026-05-02,CNC_Milling_7,Afternoon,480.0,13.0,246.0,5.0,1.55,DT-05,OP-037
2026-05-02,Press_Line_13,Morning,480.0,0.0,456.0,6.0,1.01,DT-00,OP-074
2026-05-02,Press_Line_18,Morning,480.0,0.0,359.0,10.0,1.24,DT-00,OP-072
2026-05-03,Assembly_Line_1,Afternoon,480.0,53.0,264.0,2.0,1.55,DT-01,OP-075
2026-05-03,Assembly_Line_1,Afternoon,480.0,0.0,295.0,6.0,1.55,DT-00,OP-072
2026-05-03,Assembly_Line_20,Afternoon,480.0,7.0,235.0,2.0,1.39,DT-05,OP-107
2026-05-03,Assembly_Line_3,Night,480.0,0.0,346.0,8.0,1.31,DT-00,OP-010
2026-05-03,Assembly_Line_9,Afternoon,480.0,0.0,293.0,3.0,1.52,DT-00,OP-016
2026-05-03,CNC_Milling_11,Afternoon,480.0,0.0,240.0,1.0,1.9,DT-00,OP-034
2026-05-03,CNC_Milling_12,Morning,480.0,0.0,248.0,5.0,1.86,DT-00,OP-045
2026-05-03,CNC_Milling_17,Night,480.0,0.0,233.0,2.0,1.91,DT-00,OP-031
2026-05-03,CNC_Milling_18,Morning,480.0,0.0,253.0,1.0,1.81,DT-00,OP-044
2026-05-03,CNC_Milling_2,Morning,480.0,0.0,254.0,4.0,1.85,DT-00,OP-034
2026-05-03,CNC_Milling_2,Night,480.0,0.0,255.0,7.0,1.85,DT-00,OP-008
2026-05-03,CNC_Milling_20,Night,480.0,0.0,262.0,4.0,1.79,DT-00,OP-104
2026-05-03,Press_Line_13,Morning,480.0,94.0,351.0,6.0,1.01,DT-01,OP-064
2026-05-03,Press_Line_16,Afternoon,480.0,0.0,371.0,9.0,1.22,DT-00,OP-090
2026-05-03,Press_Line_16,Morning,480.0,41.0,352.0,7.0,1.22,DT-02,OP-063
2026-05-03,Press_Line_3,Night,480.0,101.0,317.0,8.0,1.11,DT-01,OP-059
2026-05-03,Press_Line_6,Night,480.0,0.0,361.0,8.0,1.27,DT-00,OP-091
2026-05-03,Press_Line_7,Afternoon,480.0,87.0,286.0,5.0,1.36,DT-02,OP-050
2026-05-04,Assembly_Line_11,Night,480.0,74.0,286.0,3.0,1.39,DT-02,OP-013
2026-05-04,Assembly_Line_2,Night,480.0,0.0,378.0,1.0,1.22,DT-00,OP-084
2026-05-04,Assembly_Line_9,Night,480.0,0.0,306.0,8.0,1.52,DT-00,OP-003
2026-05-04,CNC_Milling_10,Night,480.0,0.0,253.0,4.0,1.8,DT-00,OP-085
2026-05-04,CNC_Milling_12,Morning,480.0,0.0,238.0,7.0,1.86,DT-00,OP-108
2026-05-04,CNC_Milling_18,Night,480.0,35.0,243.0,3.0,1.81,DT-02,OP-091
2026-05-04,CNC_Milling_5,Morning,480.0,0.0,229.0,1.0,1.98,DT-00,OP-058
2026-05-04,Press_Line_10,Morning,480.0,0.0,467.0,8.0,1.01,DT-00,OP-070
2026-05-04,Press_Line_11,Night,480.0,30.0,400.0,24.0,1.09,DT-06,OP-041
2026-05-05,Assembly_Line_12,Afternoon,480.0,17.0,250.0,3.0,1.3,DT-05,OP-068
2026-05-05,Assembly_Line_16,Afternoon,480.0,0.0,312.0,2.0,1.5,DT-00,OP-058
2026-05-05,CNC_Milling_1,Night,480.0,0.0,234.0,3.0,1.9,DT-00,OP-023
2026-05-05,CNC_Milling_10,Night,480.0,0.0,260.0,1.0,1.8,DT-00,OP-100
2026-05-05,CNC_Milling_17,Night,480.0,55.0,221.0,4.0,1.91,DT-01,OP-013
2026-05-05,CNC_Milling_17,Night,480.0,0.0,239.0,4.0,1.91,DT-00,OP-082
2026-05-05,CNC_Milling_19,Morning,480.0,13.0,229.0,5.0,1.93,DT-04,OP-031
2026-05-05,Press_Line_19,Morning,480.0,0.0,355.0,4.0,1.32,DT-00,OP-057
2026-05-06,Assembly_Line_19,Afternoon,480.0,2.0,302.0,7.0,1.28,DT-04,OP-077
2026-05-06,Assembly_Line_4,Afternoon,480.0,0.0,353.0,2.0,1.34,DT-00,OP-013
2026-05-06,CNC_Milling_20,Afternoon,480.0,0.0,260.0,1.0,1.79,DT-00,OP-067
2026-05-06,CNC_Milling_4,Afternoon,480.0,0.0,298.0,7.0,1.58,DT-00,OP-038
2026-05-06,CNC_Milling_8,Afternoon,480.0,10.0,215.0,1.0,1.55,DT-05,OP-084
2026-05-06,Press_Line_10,Night,480.0,7.0,468.0,21.0,1.01,DT-06,OP-098
2026-05-06,Press_Line_11,Morning,480.0,13.0,382.0,10.0,1.09,DT-04,OP-093
2026-05-06,Press_Line_11,Night,480.0,184.0,257.0,7.0,1.09,DT-01,OP-006
2026-05-06,Press_Line_3,Morning,480.0,24.0,379.0,29.0,1.11,DT-06,OP-079
2026-05-06,Press_Line_5,Afternoon,480.0,26.0,333.0,7.0,1.29,DT-03,OP-084
2026-05-06,Press_Line_9,Morning,480.0,0.0,409.0,11.0,1.17,DT-00,OP-059
2026-05-07,Assembly_Line_12,Night,480.0,0.0,360.0,7.0,1.3,DT-00,OP-028
2026-05-07,Assembly_Line_6,Night,480.0,25.0,321.0,17.0,1.32,DT-06,OP-029
2026-05-07,CNC_Milling_17,Morning,480.0,129.0,179.0,3.0,1.91,DT-01,OP-050
2026-05-07,CNC_Milling_2,Afternoon,480.0,46.0,228.0,3.0,1.85,DT-02,OP-098
2026-05-07,CNC_Milling_5,Night,480.0,0.0,224.0,1.0,1.98,DT-00,OP-119
2026-05-07,Press_Line_19,Night,480.0,0.0,358.0,8.0,1.32,DT-00,OP-038
2026-05-08,Assembly_Line_14,Afternoon,480.0,19.0,202.0,6.0,1.67,DT-05,OP-076
2026-05-08,Assembly_Line_2,Night,480.0,0.0,392.0,8.0,1.22,DT-00,OP-052
2026-05-08,Assembly_Line_3,Morning,480.0,0.0,356.0,7.0,1.31,DT-00,OP-012
2026-05-08,CNC_Milling_9,Afternoon,480.0,90.0,199.0,6.0,1.92,DT-02,OP-079
2026-05-08,Press_Line_1,Afternoon,480.0,0.0,357.0,8.0,1.26,DT-00,OP-056
2026-05-08,Press_Line_17,Afternoon,480.0,14.0,418.0,43.0,1.09,DT-07,OP-015
2026-05-08,Press_Line_17,Night,480.0,13.0,360.0,10.0,1.09,DT-05,OP-097
2026-05-08,Press_Line_2,Morning,480.0,51.0,420.0,6.0,1.01,DT-02,OP-112
2026-05-08,Press_Line_8,Morning,480.0,17.0,448.0,11.0,1.03,DT-02,OP-014
2026-05-09,Assembly_Line_1,Afternoon,480.0,0.0,289.0,6.0,1.55,DT-00,OP-103
2026-05-09,Assembly_Line_1,Night,480.0,0.0,297.0,9.0,1.55,DT-00,OP-083
2026-05-09,Assembly_Line_17,Afternoon,480.0,0.0,364.0,4.0,1.29,DT-00,OP-120
2026-05-09,Assembly_Line_6,Night,480.0,88.0,291.0,2.0,1.32,DT-02,OP-076
2026-05-09,CNC_Milling_10,Night,480.0,6.0,216.0,1.0,1.8,DT-05,OP-042
2026-05-09,CNC_Milling_11,Night,480.0,45.0,213.0,4.0,1.9,DT-02,OP-082
2026-05-09,CNC_Milling_15,Afternoon,480.0,0.0,277.0,2.0,1.69,DT-00,OP-001
2026-05-09,CNC_Milling_16,Morning,480.0,0.0,257.0,4.0,1.78,DT-00,OP-103
2026-05-09,CNC_Milling_18,Night,480.0,0.0,259.0,7.0,1.81,DT-00,OP-056
2026-05-09,CNC_Milling_19,Morning,480.0,51.0,205.0,6.0,1.93,DT-03,OP-081
2026-05-09,CNC_Milling_20,Night,480.0,13.0,190.0,1.0,1.79,DT-05,OP-086
2026-05-09,CNC_Milling_5,Afternoon,480.0,28.0,212.0,5.0,1.98,DT-03,OP-090
2026-05-09,CNC_Milling_9,Morning,480.0,0.0,248.0,5.0,1.92,DT-00,OP-023
2026-05-09,Press_Line_12,Morning,480.0,236.0,199.0,2.0,1.2,DT-01,OP-076
2026-05-09,Press_Line_13,Morning,480.0,33.0,425.0,12.0,1.01,DT-03,OP-107
2026-05-09,Press_Line_17,Morning,480.0,0.0,419.0,2.0,1.09,DT-00,OP-009
2026-05-10,Assembly_Line_17,Morning,480.0,123.0,271.0,2.0,1.29,DT-01,OP-093
2026-05-10,Assembly_Line_17,Night,480.0,0.0,350.0,3.0,1.29,DT-00,OP-016
2026-05-10,Assembly_Line_9,Night,480.0,0.0,311.0,3.0,1.52,DT-00,OP-091
2026-05-10,CNC_Milling_1,Morning,480.0,50.0,224.0,3.0,1.9,DT-02,OP-053
2026-05-10,CNC_Milling_12,Night,480.0,0.0,256.0,7.0,1.86,DT-00,OP-023
2026-05-10,CNC_Milling_4,Afternoon,480.0,0.0,282.0,6.0,1.58,DT-00,OP-063
2026-05-10,Press_Line_1,Night,480.0,0.0,359.0,7.0,1.26,DT-00,OP-025
2026-05-10,Press_Line_11,Morning,480.0,0.0,435.0,8.0,1.09,DT-00,OP-031
2026-05-10,Press_Line_12,Night,480.0,0.0,380.0,5.0,1.2,DT-00,OP-072
2026-05-10,Press_Line_5,Night,480.0,0.0,367.0,5.0,1.29,DT-00,OP-114
2026-05-11,Assembly_Line_8,Morning,480.0,58.0,301.0,3.0,1.34,DT-03,OP-078
2026-05-11,CNC_Milling_10,Afternoon,480.0,96.0,199.0,3.0,1.8,DT-01,OP-072
2026-05-11,CNC_Milling_14,Afternoon,480.0,33.0,212.0,0.0,1.99,DT-02,OP-002
2026-05-11,CNC_Milling_2,Night,480.0,78.0,211.0,3.0,1.85,DT-02,OP-086
2026-05-11,Press_Line_20,Night,480.0,0.0,445.0,9.0,1.0,DT-00,OP-063
2026-05-11,Press_Line_7,Morning,480.0,0.0,346.0,7.0,1.36,DT-00,OP-035
2026-05-12,Assembly_Line_14,Morning,480.0,0.0,274.0,8.0,1.67,DT-00,OP-091
2026-05-12,Assembly_Line_2,Night,480.0,0.0,393.0,7.0,1.22,DT-00,OP-003
2026-05-12,Assembly_Line_5,Afternoon,480.0,0.0,358.0,4.0,1.24,DT-00,OP-071
2026-05-12,Assembly_Line_7,Night,480.0,25.0,339.0,10.0,1.25,DT-03,OP-004
