Machine ID,Date,Shift,OEE,Production Loss (units),Throughput Loss (units),Downtime Cost,Scrap Cost,Production Loss Cost,Estimated Business Loss,Primary Business Driver,Business Loss Breakdown,Priority Score,Priority,Top Loss Driver Rank
Assembly_Line_20,2026-06-05,Afternoon,60.52,130,13,65200.0,720.0,32580.94,98500.94,Downtime Cost,"Downtime (₹65,200.00) + Scrap (₹720.00) + Prod. Loss (₹32,580.94)",62,High,34
Assembly_Line_19,2026-06-23,Morning,60.27,142,21,62000.0,840.0,35500.0,98340.0,Downtime Cost,"Downtime (₹62,000.00) + Scrap (₹840.00) + Prod. Loss (₹35,500.00)",62,High,35
Assembly_Line_13,2026-06-30,Morning,61.24,135,15,64000.0,600.0,33725.56,98325.56,Downtime Cost,"Downtime (₹64,000.00) + Scrap (₹600.00) + Prod. Loss (₹33,725.56)",62,High,36
Press_Line_20,2026-05-24,Afternoon,65.21,162,23,55600.0,600.0,40500.0,96700.0,Downtime Cost,"Downtime (₹55,600.00) + Scrap (₹600.00) + Prod. Loss (₹40,500.00)",58,Medium,37
Assembly_Line_12,2026-06-25,Morning,62.29,135,15,62400.0,480.0,33807.69,96687.69,Downtime Cost,"Downtime (₹62,400.00) + Scrap (₹480.00) + Prod. Loss (₹33,807.69)",61,High,38
Assembly_Line_11,2026-04-18,Night,64.58,121,4,65200.0,120.0,30330.94,95650.94,Downtime Cost,"Downtime (₹65,200.00) + Scrap (₹120.00) + Prod. Loss (₹30,330.94)",60,High,39
Assembly_Line_12,2026-06-16,Morning,62.56,135,18,61200.0,360.0,33807.69,95367.69,Downtime Cost,"Downtime (₹61,200.00) + Scrap (₹360.00) + Prod. Loss (₹33,807.69)",60,High,40
CNC_Milling_20,2026-07-07,Morning,63.02,98,3,68400.0,120.0,24539.11,93059.11,Downtime Cost,"Downtime (₹68,400.00) + Scrap (₹120.00) + Prod. Loss (₹24,539.11)",61,High,41
CNC_Milling_17,2026-05-12,Night,59.29,98,11,66800.0,480.0,24577.23,91857.23,Downtime Cost,"Downtime (₹66,800.00) + Scrap (₹480.00) + Prod. Loss (₹24,577.23)",61,High,42
Assembly_Line_7,2026-04-22,Afternoon,64.32,129,16,56400.0,960.0,32250.0,89610.0,Downtime Cost,"Downtime (₹56,400.00) + Scrap (₹960.00) + Prod. Loss (₹32,250.00)",57,Medium,43
CNC_Milling_7,2026-06-29,Night,65.23,104,2,62800.0,480.0,25919.35,89199.35,Downtime Cost,"Downtime (₹62,800.00) + Scrap (₹480.00) + Prod. Loss (₹25,919.35)",58,Medium,44
CNC_Milling_12,2026-05-17,Night,64.71,91,2,66000.0,0.0,22766.13,88766.13,Downtime Cost,"Downtime (₹66,000.00) + Scrap (₹0.00) + Prod. Loss (₹22,766.13)",58,Medium,45
Assembly_Line_16,2026-05-31,Night,65.94,108,15,55600.0,120.0,27000.0,82720.0,Downtime Cost,"Downtime (₹55,600.00) + Scrap (₹120.00) + Prod. Loss (₹27,000.00)",54,Medium,46
CNC_Milling_12,2026-06-22,Morning,63.55,90,10,59200.0,480.0,22516.13,82196.13,Downtime Cost,"Downtime (₹59,200.00) + Scrap (₹480.00) + Prod. Loss (₹22,516.13)",56,Medium,47
CNC_Milling_5,2026-04-25,Afternoon,63.94,82,7,59600.0,600.0,20606.06,80806.06,Downtime Cost,"Downtime (₹59,600.00) + Scrap (₹600.00) + Prod. Loss (₹20,606.06)",55,Medium,48
Assembly_Line_18,2026-06-14,Night,67.92,96,7,55200.0,360.0,23923.08,79483.08,Downtime Cost,"Downtime (₹55,200.00) + Scrap (₹360.00) + Prod. Loss (₹23,923.08)",53,Medium,49
Assembly_Line_12,2026-05-22,Morning,70.42,102,3,51600.0,840.0,25557.69,77997.69,Downtime Cost,"Downtime (₹51,600.00) + Scrap (₹840.00) + Prod. Loss (₹25,557.69)",51,Medium,50
CNC_Milling_18,2026-05-13,Morning,65.61,90,16,54000.0,120.0,22548.34,76668.34,Downtime Cost,"Downtime (₹54,000.00) + Scrap (₹120.00) + Prod. Loss (₹22,548.34)",52,Medium,51
Press_Line_9,2026-06-16,Morning,73.12,108,4,48800.0,240.0,27064.1,76104.1,Downtime Cost,"Downtime (₹48,800.00) + Scrap (₹240.00) + Prod. Loss (₹27,064.10)",49,Medium,52
CNC_Milling_7,2026-05-30,Night,71.04,89,3,53200.0,120.0,22169.35,75489.35,Downtime Cost,"Downtime (₹53,200.00) + Scrap (₹120.00) + Prod. Loss (₹22,169.35)",50,Medium,53
Assembly_Line_17,2026-05-10,Morning,72.29,101,6,49200.0,240.0,25273.26,74713.26,Downtime Cost,"Downtime (₹49,200.00) + Scrap (₹240.00) + Prod. Loss (₹25,273.26)",49,Medium,54
CNC_Milling_13,2026-06-25,Night,71.91,75,2,51600.0,120.0,18796.61,70516.61,Downtime Cost,"Downtime (₹51,600.00) + Scrap (₹120.00) + Prod. Loss (₹18,796.61)",48,Medium,55
Press_Line_3,2026-05-03,Night,71.46,115,24,40400.0,960.0,28858.11,70218.11,Downtime Cost,"Downtime (₹40,400.00) + Scrap (₹960.00) + Prod. Loss (₹28,858.11)",46,Medium,56
CNC_Milling_17,2026-05-07,Morning,70.03,72,5,51600.0,360.0,18077.23,70037.23,Downtime Cost,"Downtime (₹51,600.00) + Scrap (₹360.00) + Prod. Loss (₹18,077.23)",49,Medium,57
Assembly_Line_5,2026-07-14,Afternoon,72.59,104,16,43600.0,240.0,26024.19,69864.19,Downtime Cost,"Downtime (₹43,600.00) + Scrap (₹240.00) + Prod. Loss (₹26,024.19)",46,Medium,58
Press_Line_13,2026-05-03,Morning,72.59,124,31,37600.0,720.0,31061.88,69381.88,Downtime Cost,"Downtime (₹37,600.00) + Scrap (₹720.00) + Prod. Loss (₹31,061.88)",45,Medium,59
Assembly_Line_13,2026-06-29,Morning,70.1,102,22,42400.0,720.0,25475.56,68595.56,Downtime Cost,"Downtime (₹42,400.00) + Scrap (₹720.00) + Prod. Loss (₹25,475.56)",46,Medium,60
Press_Line_15,2026-04-18,Afternoon,74.02,93,7,43200.0,720.0,23238.1,67158.1,Downtime Cost,"Downtime (₹43,200.00) + Scrap (₹720.00) + Prod. Loss (₹23,238.10)",45,Medium,61
Press_Line_9,2026-05-20,Morning,72.39,108,27,38000.0,600.0,27064.1,65664.1,Downtime Cost,"Downtime (₹38,000.00) + Scrap (₹600.00) + Prod. Loss (₹27,064.10)",44,Medium,62
Assembly_Line_18,2026-06-01,Afternoon,74.42,76,3,45200.0,360.0,18923.08,64483.08,Downtime Cost,"Downtime (₹45,200.00) + Scrap (₹360.00) + Prod. Loss (₹18,923.08)",45,Medium,63
Press_Line_17,2026-05-22,Morning,77.89,96,5,40000.0,120.0,24091.74,64211.74,Downtime Cost,"Downtime (₹40,000.00) + Scrap (₹120.00) + Prod. Loss (₹24,091.74)",42,Medium,64
Assembly_Line_7,2026-04-17,Morning,73.96,98,25,36400.0,240.0,24500.0,61140.0,Downtime Cost,"Downtime (₹36,400.00) + Scrap (₹240.00) + Prod. Loss (₹24,500.00)",32,Low,65
Press_Line_13,2026-06-23,Morning,78.7,98,9,36000.0,360.0,24561.88,60921.88,Downtime Cost,"Downtime (₹36,000.00) + Scrap (₹360.00) + Prod. Loss (₹24,561.88)",38,Low,66
Press_Line_9,2026-06-03,Afternoon,76.29,94,17,36000.0,360.0,23564.1,59924.1,Downtime Cost,"Downtime (₹36,000.00) + Scrap (₹360.00) + Prod. Loss (₹23,564.10)",39,Low,67
CNC_Milling_13,2026-04-30,Night,72.64,73,16,40800.0,120.0,18296.61,59216.61,Downtime Cost,"Downtime (₹40,800.00) + Scrap (₹120.00) + Prod. Loss (₹18,296.61)",43,Medium,68
CNC_Milling_16,2026-06-03,Night,73.8,70,12,40800.0,120.0,17415.73,58335.73,Downtime Cost,"Downtime (₹40,800.00) + Scrap (₹120.00) + Prod. Loss (₹17,415.73)",42,Medium,69
Press_Line_11,2026-05-24,Morning,78.57,86,7,34400.0,960.0,21591.74,56951.74,Downtime Cost,"Downtime (₹34,400.00) + Scrap (₹960.00) + Prod. Loss (₹21,591.74)",37,Low,70
Assembly_Line_9,2026-04-29,Morning,76.95,71,7,38800.0,240.0,17697.37,56737.37,Downtime Cost,"Downtime (₹38,800.00) + Scrap (₹240.00) + Prod. Loss (₹17,697.37)",40,Medium,71
Press_Line_20,2026-04-19,Afternoon,78.54,98,19,31600.0,600.0,24500.0,56700.0,Downtime Cost,"Downtime (₹31,600.00) + Scrap (₹600.00) + Prod. Loss (₹24,500.00)",36,Low,72
CNC_Milling_18,2026-06-29,Morning,76.17,59,3,40400.0,480.0,14798.34,55678.34,Downtime Cost,"Downtime (₹40,400.00) + Scrap (₹480.00) + Prod. Loss (₹14,798.34)",31,Low,73
CNC_Milling_10,2026-05-11,Afternoon,73.5,68,14,38400.0,360.0,16916.67,55676.67,Downtime Cost,"Downtime (₹38,400.00) + Scrap (₹360.00) + Prod. Loss (₹16,916.67)",41,Medium,74
Assembly_Line_6,2026-05-09,Night,79.48,73,6,35200.0,240.0,18159.09,53599.09,Downtime Cost,"Downtime (₹35,200.00) + Scrap (₹240.00) + Prod. Loss (₹18,159.09)",36,Low,75
Press_Line_7,2026-05-03,Afternoon,79.62,67,3,34800.0,600.0,16735.29,52135.29,Downtime Cost,"Downtime (₹34,800.00) + Scrap (₹600.00) + Prod. Loss (₹16,735.29)",36,Low,76
Press_Line_9,2026-07-03,Afternoon,80.92,76,6,32800.0,240.0,19064.1,52104.1,Downtime Cost,"Downtime (₹32,800.00) + Scrap (₹240.00) + Prod. Loss (₹19,064.10)",35,Low,77
Press_Line_9,2026-07-13,Afternoon,78.97,84,18,30800.0,240.0,21064.1,52104.1,Downtime Cost,"Downtime (₹30,800.00) + Scrap (₹240.00) + Prod. Loss (₹21,064.10)",27,Low,77
Assembly_Line_15,2026-05-22,Morning,76.63,72,17,33600.0,240.0,17947.37,51787.37,Downtime Cost,"Downtime (₹33,600.00) + Scrap (₹240.00) + Prod. Loss (₹17,947.37)",28,Low,78
Assembly_Line_3,2026-05-27,Afternoon,78.05,72,11,32000.0,960.0,18103.05,51063.05,Downtime Cost,"Downtime (₹32,000.00) + Scrap (₹960.00) + Prod. Loss (₹18,103.05)",35,Low,79
Press_Line_10,2026-04-20,Night,79.33,97,32,26400.0,120.0,24311.88,50831.88,Downtime Cost,"Downtime (₹26,400.00) + Scrap (₹120.00) + Prod. Loss (₹24,311.88)",33,Low,80
Press_Line_7,2026-05-17,Afternoon,77.63,75,17,31600.0,480.0,18735.29,50815.29,Downtime Cost,"Downtime (₹31,600.00) + Scrap (₹480.00) + Prod. Loss (₹18,735.29)",37,Low,81
CNC_Milling_3,2026-06-23,Afternoon,75.85,64,14,34000.0,600.0,16106.29,50706.29,Downtime Cost,"Downtime (₹34,000.00) + Scrap (₹600.00) + Prod. Loss (₹16,106.29)",28,Low,82
Press_Line_19,2026-06-14,Afternoon,79.48,70,8,32400.0,600.0,17409.09,50409.09,Downtime Cost,"Downtime (₹32,400.00) + Scrap (₹600.00) + Prod. Loss (₹17,409.09)",35,Low,83
Press_Line_20,2026-07-09,Morning,60.42,186,178,3200.0,480.0,46500.0,50180.0,Production Loss Cost,"Downtime (₹3,200.00) + Scrap (₹480.00) + Prod. Loss (₹46,500.00)",32,Low,84
Press_Line_14,2026-05-31,Afternoon,60.98,171,157,6400.0,240.0,42861.11,49501.11,Production Loss Cost,"Downtime (₹6,400.00) + Scrap (₹240.00) + Prod. Loss (₹42,861.11)",32,Low,85
CNC_Milling_9,2026-05-08,Afternoon,77.2,51,4,36000.0,720.0,12750.0,49470.0,Downtime Cost,"Downtime (₹36,000.00) + Scrap (₹720.00) + Prod. Loss (₹12,750.00)",36,Low,86
Assembly_Line_9,2026-05-14,Morning,80.75,60,3,34400.0,120.0,14947.37,49467.37,Downtime Cost,"Downtime (₹34,400.00) + Scrap (₹120.00) + Prod. Loss (₹14,947.37)",34,Low,87
CNC_Milling_20,2026-05-22,Night,75.7,64,18,33200.0,120.0,16039.11,49359.11,Downtime Cost,"Downtime (₹33,200.00) + Scrap (₹120.00) + Prod. Loss (₹16,039.11)",38,Low,88
Assembly_Line_4,2026-05-01,Morning,77.33,76,22,28800.0,600.0,19052.24,48452.24,Downtime Cost,"Downtime (₹28,800.00) + Scrap (₹600.00) + Prod. Loss (₹19,052.24)",34,Low,89
Press_Line_3,2026-04-22,Morning,81.63,77,14,28000.0,240.0,19358.11,47598.11,Downtime Cost,"Downtime (₹28,000.00) + Scrap (₹240.00) + Prod. Loss (₹19,358.11)",32,Low,90
Press_Line_15,2026-04-21,Afternoon,78.49,79,25,27200.0,360.0,19738.1,47298.1,Downtime Cost,"Downtime (₹27,200.00) + Scrap (₹360.00) + Prod. Loss (₹19,738.10)",33,Low,91
CNC_Milling_17,2026-06-30,Morning,77.59,53,9,33600.0,360.0,13327.23,47287.23,Downtime Cost,"Downtime (₹33,600.00) + Scrap (₹360.00) + Prod. Loss (₹13,327.23)",35,Low,92
Assembly_Line_15,2026-05-17,Night,77.9,68,18,30000.0,240.0,16947.37,47187.37,Downtime Cost,"Downtime (₹30,000.00) + Scrap (₹240.00) + Prod. Loss (₹16,947.37)",34,Low,93
CNC_Milling_9,2026-07-10,Night,77.6,51,8,33200.0,600.0,12750.0,46550.0,Downtime Cost,"Downtime (₹33,200.00) + Scrap (₹600.00) + Prod. Loss (₹12,750.00)",36,Low,94
CNC_Milling_5,2026-05-24,Night,75.9,53,13,32000.0,600.0,13356.06,45956.06,Downtime Cost,"Downtime (₹32,000.00) + Scrap (₹600.00) + Prod. Loss (₹13,356.06)",36,Low,95
CNC_Milling_5,2026-06-04,Morning,75.49,54,15,31600.0,600.0,13606.06,45806.06,Downtime Cost,"Downtime (₹31,600.00) + Scrap (₹600.00) + Prod. Loss (₹13,606.06)",34,Low,96
Assembly_Line_9,2026-06-14,Afternoon,78.85,60,10,30000.0,840.0,14947.37,45787.37,Downtime Cost,"Downtime (₹30,000.00) + Scrap (₹840.00) + Prod. Loss (₹14,947.37)",35,Low,97
Assembly_Line_16,2026-05-02,Afternoon,77.81,68,21,28400.0,360.0,17000.0,45760.0,Downtime Cost,"Downtime (₹28,400.00) + Scrap (₹360.00) + Prod. Loss (₹17,000.00)",33,Low,98
Press_Line_3,2026-07-13,Morning,64.29,147,129,8000.0,840.0,36858.11,45698.11,Production Loss Cost,"Downtime (₹8,000.00) + Scrap (₹840.00) + Prod. Loss (₹36,858.11)",31,Low,99
Assembly_Line_12,2026-05-15,Night,78.54,75,24,26400.0,480.0,18807.69,45687.69,Downtime Cost,"Downtime (₹26,400.00) + Scrap (₹480.00) + Prod. Loss (₹18,807.69)",24,Low,100
Press_Line_4,2026-05-24,Afternoon,58.59,177,176,400.0,600.0,44341.74,45341.74,Production Loss Cost,"Downtime (₹400.00) + Scrap (₹600.00) + Prod. Loss (₹44,341.74)",31,Low,101
CNC_Milling_10,2026-04-21,Afternoon,77.25,59,16,30400.0,240.0,14666.67,45306.67,Downtime Cost,"Downtime (₹30,400.00) + Scrap (₹240.00) + Prod. Loss (₹14,666.67)",33,Low,102
Assembly_Line_11,2026-05-04,Night,81.95,59,6,29600.0,360.0,14830.94,44790.94,Downtime Cost,"Downtime (₹29,600.00) + Scrap (₹360.00) + Prod. Loss (₹14,830.94)",32,Low,103
Assembly_Line_11,2026-05-26,Night,57.05,145,131,8000.0,360.0,36330.94,44690.94,Production Loss Cost,"Downtime (₹8,000.00) + Scrap (₹360.00) + Prod. Loss (₹36,330.94)",33,Low,104
Press_Line_20,2026-05-13,Morning,81.67,84,26,23200.0,480.0,21000.0,44680.0,Downtime Cost,"Downtime (₹23,200.00) + Scrap (₹480.00) + Prod. Loss (₹21,000.00)",30,Low,105
Press_Line_1,2026-07-11,Afternoon,60.64,147,133,6800.0,360.0,36738.1,43898.1,Production Loss Cost,"Downtime (₹6,800.00) + Scrap (₹360.00) + Prod. Loss (₹36,738.10)",31,Low,106
CNC_Milling_2,2026-05-11,Night,80.17,48,6,31200.0,360.0,12114.86,43674.86,Downtime Cost,"Downtime (₹31,200.00) + Scrap (₹360.00) + Prod. Loss (₹12,114.86)",32,Low,107
CNC_Milling_16,2026-05-13,Afternoon,80.1,52,9,30400.0,240.0,12915.73,43555.73,Downtime Cost,"Downtime (₹30,400.00) + Scrap (₹240.00) + Prod. Loss (₹12,915.73)",24,Low,108
Press_Line_8,2026-06-21,Afternoon,63.95,161,155,2400.0,840.0,40254.85,43494.85,Production Loss Cost,"Downtime (₹2,400.00) + Scrap (₹840.00) + Prod. Loss (₹40,254.85)",29,Low,109
Press_Line_15,2026-05-20,Afternoon,82.16,61,7,27200.0,840.0,15238.1,43278.1,Downtime Cost,"Downtime (₹27,200.00) + Scrap (₹840.00) + Prod. Loss (₹15,238.10)",33,Low,110
Assembly_Line_18,2026-06-27,Morning,81.9,54,7,29200.0,240.0,13423.08,42863.08,Downtime Cost,"Downtime (₹29,200.00) + Scrap (₹240.00) + Prod. Loss (₹13,423.08)",33,Low,111
Press_Line_6,2026-06-29,Morning,81.49,68,18,25600.0,240.0,16988.19,42828.19,Downtime Cost,"Downtime (₹25,600.00) + Scrap (₹240.00) + Prod. Loss (₹16,988.19)",31,Low,112
CNC_Milling_9,2026-06-15,Afternoon,78.4,48,9,30000.0,720.0,12000.0,42720.0,Downtime Cost,"Downtime (₹30,000.00) + Scrap (₹720.00) + Prod. Loss (₹12,000.00)",32,Low,113
CNC_Milling_20,2026-05-14,Afternoon,79.06,55,15,28800.0,120.0,13789.11,42709.11,Downtime Cost,"Downtime (₹28,800.00) + Scrap (₹120.00) + Prod. Loss (₹13,789.11)",32,Low,114
CNC_Milling_1,2026-07-09,Morning,80.75,45,4,30800.0,480.0,11157.89,42437.89,Downtime Cost,"Downtime (₹30,800.00) + Scrap (₹480.00) + Prod. Loss (₹11,157.89)",32,Low,115
Press_Line_1,2026-07-03,Night,61.95,144,133,5600.0,120.0,35988.1,41708.1,Production Loss Cost,"Downtime (₹5,600.00) + Scrap (₹120.00) + Prod. Loss (₹35,988.10)",30,Low,116
CNC_Milling_10,2026-06-12,Morning,78.0,54,15,27600.0,600.0,13416.67,41616.67,Downtime Cost,"Downtime (₹27,600.00) + Scrap (₹600.00) + Prod. Loss (₹13,416.67)",24,Low,117
CNC_Milling_16,2026-06-18,Morning,80.84,51,10,28800.0,120.0,12665.73,41585.73,Downtime Cost,"Downtime (₹28,800.00) + Scrap (₹120.00) + Prod. Loss (₹12,665.73)",31,Low,118
Assembly_Line_18,2026-07-07,Afternoon,79.3,60,18,26000.0,480.0,14923.08,41403.08,Downtime Cost,"Downtime (₹26,000.00) + Scrap (₹480.00) + Prod. Loss (₹14,923.08)",31,Low,119
Press_Line_19,2026-07-04,Afternoon,83.32,55,4,26800.0,720.0,13659.09,41179.09,Downtime Cost,"Downtime (₹26,800.00) + Scrap (₹720.00) + Prod. Loss (₹13,659.09)",32,Low,120
CNC_Milling_4,2026-07-03,Afternoon,81.63,50,5,28000.0,720.0,12449.37,41169.37,Downtime Cost,"Downtime (₹28,000.00) + Scrap (₹720.00) + Prod. Loss (₹12,449.37)",31,Low,121
Press_Line_10,2026-05-28,Morning,83.96,75,21,22000.0,120.0,18811.88,40931.88,Downtime Cost,"Downtime (₹22,000.00) + Scrap (₹120.00) + Prod. Loss (₹18,811.88)",28,Low,122
Assembly_Line_12,2026-07-12,Afternoon,81.79,66,20,24000.0,120.0,16557.69,40677.69,Downtime Cost,"Downtime (₹24,000.00) + Scrap (₹120.00) + Prod. Loss (₹16,557.69)",29,Low,123
Press_Line_18,2026-05-27,Morning,81.63,62,14,24000.0,1080.0,15524.19,40604.19,Downtime Cost,"Downtime (₹24,000.00) + Scrap (₹1,080.00) + Prod. Loss (₹15,524.19)",32,Low,124
Press_Line_10,2026-06-24,Night,82.48,81,34,19200.0,240.0,20311.88,39751.88,Production Loss Cost,"Downtime (₹19,200.00) + Scrap (₹240.00) + Prod. Loss (₹20,311.88)",30,Low,125
Assembly_Line_10,2026-05-23,Afternoon,82.22,58,13,24800.0,480.0,14456.52,39736.52,Downtime Cost,"Downtime (₹24,800.00) + Scrap (₹480.00) + Prod. Loss (₹14,456.52)",31,Low,126
Press_Line_19,2026-07-15,Night,81.13,60,16,23200.0,1080.0,14909.09,39189.09,Downtime Cost,"Downtime (₹23,200.00) + Scrap (₹1,080.00) + Prod. Loss (₹14,909.09)",29,Low,127
Press_Line_20,2026-06-12,Night,85.21,69,15,21600.0,240.0,17250.0,39090.0,Downtime Cost,"Downtime (₹21,600.00) + Scrap (₹240.00) + Prod. Loss (₹17,250.00)",20,Low,128
